failure_id,payment_id,customer_id,subscription_id,amount,failure_reason,behavior_profile,selected_action,estimated_recovery_probability,action_cost,expected_net_value,decision_margin
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,11574.78,LIMIT_EXCEEDED,high_value_loyal,WAIT_AND_RETRY,0.4471,2.0,5172.59,545.54
FAIL_001787,PAY_011737,CUST_0688,SUB_0688,703.54,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.5212,2.0,364.67,34.89
FAIL_000182,PAY_001116,CUST_0074,SUB_0074,756.59,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3196,2.0,239.82,31.57
FAIL_001044,PAY_007106,CUST_0426,SUB_0426,542.66,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.377,2.0,202.57,24.94
FAIL_000779,PAY_005362,CUST_0322,SUB_0322,676.83,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3759,2.0,252.43,30.82
FAIL_001578,PAY_010560,CUST_0625,SUB_0625,2210.87,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3773,2.0,832.06,98.55
FAIL_000474,PAY_003091,CUST_0180,SUB_0180,1171.97,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4843,2.0,565.59,57.1
FAIL_002095,PAY_013344,CUST_0780,SUB_0780,2075.84,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4853,2.0,1005.31,100.4
FAIL_001788,PAY_011739,CUST_0688,SUB_0688,703.54,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.431,2.0,301.21,33.74
FAIL_002501,PAY_015379,CUST_0904,SUB_0904,3422.48,CARD_EXPIRED,normal,WAIT_AND_RETRY,0.4182,2.0,1429.28,158.61
FAIL_001416,PAY_009293,CUST_0552,SUB_0552,507.97,BANK_DECLINED,low_engagement,WAIT_AND_RETRY,0.3456,2.0,173.57,22.45
FAIL_001780,PAY_011715,CUST_0687,SUB_0687,345.77,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4261,2.0,145.32,17.03
FAIL_000445,PAY_002898,CUST_0169,SUB_0169,14872.16,LIMIT_EXCEEDED,high_value_loyal,WAIT_AND_RETRY,0.4555,2.0,6772.36,704.12
FAIL_000157,PAY_000901,CUST_0058,SUB_0058,1656.39,BANK_DECLINED,reliable,WAIT_AND_RETRY,0.4665,2.0,770.64,79.74
FAIL_002468,PAY_015210,CUST_0892,SUB_0892,429.37,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.5255,2.0,223.61,21.68
FAIL_002641,PAY_016266,CUST_0949,SUB_0949,974.33,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.403,2.0,390.66,45.24
FAIL_001070,PAY_007246,CUST_0431,SUB_0431,745.87,LIMIT_EXCEEDED,low_engagement,WAIT_AND_RETRY,0.3185,2.0,235.54,31.07
FAIL_002435,PAY_015087,CUST_0886,SUB_0886,938.96,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3612,2.0,337.12,41.57
FAIL_000114,PAY_000713,CUST_0046,SUB_0046,405.71,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.435,2.0,174.5,19.93
FAIL_001357,PAY_008980,CUST_0531,SUB_0531,412.94,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4303,2.0,175.7,20.2
FAIL_002543,PAY_015620,CUST_0915,SUB_0915,1705.4,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3732,2.0,634.42,75.87
FAIL_001638,PAY_010859,CUST_0638,SUB_0638,1633.25,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3775,2.0,614.5,73.09
FAIL_002087,PAY_013298,CUST_0778,SUB_0778,1859.33,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4279,2.0,793.52,87.31
FAIL_001439,PAY_009481,CUST_0563,SUB_0563,404.63,NETWORK_ERROR,low_engagement,WAIT_AND_RETRY,0.4948,2.0,198.21,20.43
FAIL_001144,PAY_007751,CUST_0458,SUB_0458,3086.94,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4224,2.0,1301.94,143.67
FAIL_002736,PAY_016842,CUST_0978,SUB_0978,445.63,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4376,2.0,193.0,21.83
FAIL_001142,PAY_007745,CUST_0458,SUB_0458,3086.94,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4821,2.0,1486.14,148.67
FAIL_001345,PAY_008883,CUST_0523,SUB_0523,1492.87,CARD_EXPIRED,normal,WAIT_AND_RETRY,0.3996,2.0,594.5,68.55
FAIL_001633,PAY_010818,CUST_0636,SUB_0636,666.71,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.5235,2.0,347.01,33.12
FAIL_000792,PAY_005444,CUST_0330,SUB_0330,998.82,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4285,2.0,425.95,47.39
FAIL_000097,PAY_000558,CUST_0037,SUB_0037,9606.42,LIMIT_EXCEEDED,high_value_loyal,WAIT_AND_RETRY,0.4526,2.0,4346.03,454.43
FAIL_000914,PAY_006136,CUST_0372,SUB_0372,454.36,CARD_EXPIRED,friction_prone,WAIT_AND_RETRY,0.365,2.0,163.83,20.73
FAIL_000933,PAY_006275,CUST_0377,SUB_0377,929.32,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4855,2.0,449.19,45.5
FAIL_001251,PAY_008244,CUST_0482,SUB_0482,1120.08,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4279,2.0,477.23,52.99
FAIL_001433,PAY_009409,CUST_0556,SUB_0556,1271.26,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.5242,2.0,664.41,62.24
FAIL_001886,PAY_012128,CUST_0708,SUB_0708,1097.17,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4882,2.0,533.62,53.58
FAIL_000818,PAY_005541,CUST_0336,SUB_0336,1661.44,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4344,2.0,719.68,78.5
FAIL_000912,PAY_006129,CUST_0372,SUB_0372,454.36,AUTHENTICATION_FAILED,friction_prone,WAIT_AND_RETRY,0.3957,2.0,177.79,21.48
FAIL_001928,PAY_012368,CUST_0723,SUB_0723,720.89,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3323,2.0,237.58,30.79
FAIL_000159,PAY_000912,CUST_0058,SUB_0058,1656.39,INSUFFICIENT_FUNDS,reliable,WAIT_AND_RETRY,0.5267,2.0,870.39,80.79
FAIL_001567,PAY_010518,CUST_0623,SUB_0623,1621.46,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3748,2.0,605.65,72.32
FAIL_000443,PAY_002890,CUST_0169,SUB_0169,14872.16,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.6333,2.0,9417.23,682.43
FAIL_000653,PAY_004462,CUST_0262,SUB_0262,1739.87,LIMIT_EXCEEDED,reliable,WAIT_AND_RETRY,0.436,2.0,756.65,82.26
FAIL_002652,PAY_016358,CUST_0955,SUB_0955,319.2,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.4006,2.0,125.88,15.46
FAIL_001017,PAY_006865,CUST_0412,SUB_0412,449.29,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.4027,2.0,178.93,21.39
FAIL_001687,PAY_011069,CUST_0650,SUB_0650,300.09,LIMIT_EXCEEDED,friction_prone,WAIT_AND_RETRY,0.3456,2.0,101.7,13.67
FAIL_001361,PAY_009014,CUST_0532,SUB_0532,8636.92,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.541,2.0,4670.25,416.6
FAIL_000735,PAY_005089,CUST_0303,SUB_0303,1311.68,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4264,2.0,557.27,61.82
FAIL_000102,PAY_000574,CUST_0039,SUB_0039,13129.92,CARD_EXPIRED,high_value_loyal,WAIT_AND_RETRY,0.4676,2.0,6137.23,625.51
FAIL_001689,PAY_011074,CUST_0650,SUB_0650,300.09,CARD_EXPIRED,friction_prone,WAIT_AND_RETRY,0.3615,2.0,106.48,13.97
FAIL_000726,PAY_004993,CUST_0299,SUB_0299,8559.42,LIMIT_EXCEEDED,high_value_loyal,WAIT_AND_RETRY,0.4485,2.0,3837.25,404.04
FAIL_000666,PAY_004597,CUST_0269,SUB_0269,1477.76,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3702,2.0,545.12,65.63
FAIL_000970,PAY_006446,CUST_0387,SUB_0387,524.81,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3582,2.0,186.01,23.58
FAIL_000634,PAY_004294,CUST_0252,SUB_0252,609.3,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.3991,2.0,241.17,28.56
FAIL_002525,PAY_015522,CUST_0911,SUB_0911,2077.0,BANK_DECLINED,normal,WAIT_AND_RETRY,0.431,2.0,893.22,97.64
FAIL_002294,PAY_014467,CUST_0849,SUB_0849,951.12,BANK_DECLINED,low_engagement,WAIT_AND_RETRY,0.3362,2.0,317.77,40.56
FAIL_001449,PAY_009527,CUST_0565,SUB_0565,200.0,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3755,2.0,73.1,9.81
FAIL_000422,PAY_002768,CUST_0162,SUB_0162,293.46,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3354,2.0,96.42,13.19
FAIL_001023,PAY_006879,CUST_0412,SUB_0412,449.29,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3644,2.0,161.71,20.5
FAIL_000861,PAY_005846,CUST_0354,SUB_0354,886.93,AUTHENTICATION_FAILED,normal,WAIT_AND_RETRY,0.4457,2.0,393.27,42.69
FAIL_001466,PAY_009650,CUST_0573,SUB_0573,557.68,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4344,2.0,240.24,27.01
FAIL_000164,PAY_000987,CUST_0063,SUB_0063,961.34,AUTHENTICATION_FAILED,normal,WAIT_AND_RETRY,0.4482,2.0,428.9,46.26
FAIL_001494,PAY_009816,CUST_0581,SUB_0581,369.27,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4298,2.0,156.7,18.17
FAIL_001263,PAY_008301,CUST_0485,SUB_0485,929.62,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4263,2.0,394.29,44.1
FAIL_000172,PAY_001070,CUST_0070,SUB_0070,11107.73,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.6287,2.0,6981.84,512.13
FAIL_000523,PAY_003553,CUST_0211,SUB_0211,1170.85,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3815,2.0,444.73,52.93
FAIL_001761,PAY_011571,CUST_0680,SUB_0680,1595.24,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3768,2.0,599.16,71.35
FAIL_000607,PAY_004108,CUST_0243,SUB_0243,928.54,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3701,2.0,341.64,41.6
FAIL_002264,PAY_014397,CUST_0843,SUB_0843,638.25,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3607,2.0,228.24,28.56
FAIL_002386,PAY_014942,CUST_0875,SUB_0875,1152.64,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4355,2.0,499.94,54.81
FAIL_001513,PAY_009962,CUST_0588,SUB_0588,278.46,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3293,2.0,89.7,12.45
FAIL_000148,PAY_000840,CUST_0053,SUB_0053,619.66,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3262,2.0,200.14,26.34
FAIL_002235,PAY_014227,CUST_0832,SUB_0832,2452.06,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4875,2.0,1193.31,118.5
FAIL_000611,PAY_004117,CUST_0244,SUB_0244,1067.83,NETWORK_ERROR,normal,WAIT_AND_RETRY,0.579,2.0,616.27,51.81
