counterfactual_id,failure_id,payment_id,subscription_id,customer_id,amount,failure_reason,account_age_days,successful_payments,failed_payments,total_payments,payment_success_rate,historical_recovery_rate,engagement_score,behavior_profile,candidate_action,action_cost,true_recovery_probability,expected_gross_recovery,expected_net_value
FAIL_000003__RETRY_NOW,FAIL_000003,PAY_000034,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,RETRY_NOW,2.00,0.721719,293.25,291.25
FAIL_000003__WAIT_AND_RETRY,FAIL_000003,PAY_000034,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,WAIT_AND_RETRY,2.00,0.818649,332.63,330.63
FAIL_000003__SEND_REMINDER,FAIL_000003,PAY_000034,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,SEND_REMINDER,1.00,0.748987,304.33,303.33
FAIL_000003__PAYMENT_LINK,FAIL_000003,PAY_000034,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,PAYMENT_LINK,3.00,0.782679,318.02,315.02
FAIL_000003__UPDATE_PAYMENT_METHOD,FAIL_000003,PAY_000034,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,UPDATE_PAYMENT_METHOD,3.00,0.686542,278.96,275.96
FAIL_000004__RETRY_NOW,FAIL_000004,PAY_000054,SUB_0006,CUST_0006,1013.11,INSUFFICIENT_FUNDS,503,13,3,16,0.812500,0.600000,0.600000,normal,RETRY_NOW,2.00,0.644398,652.85,650.85
FAIL_000004__WAIT_AND_RETRY,FAIL_000004,PAY_000054,SUB_0006,CUST_0006,1013.11,INSUFFICIENT_FUNDS,503,13,3,16,0.812500,0.600000,0.600000,normal,WAIT_AND_RETRY,2.00,0.773502,783.64,781.64
FAIL_000004__SEND_REMINDER,FAIL_000004,PAY_000054,SUB_0006,CUST_0006,1013.11,INSUFFICIENT_FUNDS,503,13,3,16,0.812500,0.600000,0.600000,normal,SEND_REMINDER,1.00,0.765657,775.70,774.70
FAIL_000004__PAYMENT_LINK,FAIL_000004,PAY_000054,SUB_0006,CUST_0006,1013.11,INSUFFICIENT_FUNDS,503,13,3,16,0.812500,0.600000,0.600000,normal,PAYMENT_LINK,3.00,0.767189,777.25,774.25
FAIL_000004__UPDATE_PAYMENT_METHOD,FAIL_000004,PAY_000054,SUB_0006,CUST_0006,1013.11,INSUFFICIENT_FUNDS,503,13,3,16,0.812500,0.600000,0.600000,normal,UPDATE_PAYMENT_METHOD,3.00,0.699756,708.93,705.93
FAIL_000005__RETRY_NOW,FAIL_000005,PAY_000061,SUB_0006,CUST_0006,1013.11,NETWORK_ERROR,503,13,3,16,0.812500,0.600000,0.600000,normal,RETRY_NOW,2.00,0.855729,866.95,864.95
FAIL_000005__WAIT_AND_RETRY,FAIL_000005,PAY_000061,SUB_0006,CUST_0006,1013.11,NETWORK_ERROR,503,13,3,16,0.812500,0.600000,0.600000,normal,WAIT_AND_RETRY,2.00,0.750675,760.52,758.52
FAIL_000005__SEND_REMINDER,FAIL_000005,PAY_000061,SUB_0006,CUST_0006,1013.11,NETWORK_ERROR,503,13,3,16,0.812500,0.600000,0.600000,normal,SEND_REMINDER,1.00,0.671956,680.77,679.77
FAIL_000005__PAYMENT_LINK,FAIL_000005,PAY_000061,SUB_0006,CUST_0006,1013.11,NETWORK_ERROR,503,13,3,16,0.812500,0.600000,0.600000,normal,PAYMENT_LINK,3.00,0.783594,793.87,790.87
FAIL_000005__UPDATE_PAYMENT_METHOD,FAIL_000005,PAY_000061,SUB_0006,CUST_0006,1013.11,NETWORK_ERROR,503,13,3,16,0.812500,0.600000,0.600000,normal,UPDATE_PAYMENT_METHOD,3.00,0.737086,746.75,743.75
FAIL_000006__RETRY_NOW,FAIL_000006,PAY_000072,SUB_0008,CUST_0008,11574.78,CARD_EXPIRED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,RETRY_NOW,2.00,0.912951,10567.20,10565.20
FAIL_000006__WAIT_AND_RETRY,FAIL_000006,PAY_000072,SUB_0008,CUST_0008,11574.78,CARD_EXPIRED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,WAIT_AND_RETRY,2.00,0.913770,10576.69,10574.69
FAIL_000006__SEND_REMINDER,FAIL_000006,PAY_000072,SUB_0008,CUST_0008,11574.78,CARD_EXPIRED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,SEND_REMINDER,1.00,0.935824,10831.95,10830.95
FAIL_000006__PAYMENT_LINK,FAIL_000006,PAY_000072,SUB_0008,CUST_0008,11574.78,CARD_EXPIRED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,PAYMENT_LINK,3.00,0.950000,10996.04,10993.04
FAIL_000006__UPDATE_PAYMENT_METHOD,FAIL_000006,PAY_000072,SUB_0008,CUST_0008,11574.78,CARD_EXPIRED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,UPDATE_PAYMENT_METHOD,3.00,0.950000,10996.04,10993.04
FAIL_000007__RETRY_NOW,FAIL_000007,PAY_000073,SUB_0008,CUST_0008,11574.78,LIMIT_EXCEEDED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,RETRY_NOW,2.00,0.928380,10745.80,10743.80
FAIL_000007__WAIT_AND_RETRY,FAIL_000007,PAY_000073,SUB_0008,CUST_0008,11574.78,LIMIT_EXCEEDED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,WAIT_AND_RETRY,2.00,0.885687,10251.63,10249.63
FAIL_000007__SEND_REMINDER,FAIL_000007,PAY_000073,SUB_0008,CUST_0008,11574.78,LIMIT_EXCEEDED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,SEND_REMINDER,1.00,0.894776,10356.83,10355.83
FAIL_000007__PAYMENT_LINK,FAIL_000007,PAY_000073,SUB_0008,CUST_0008,11574.78,LIMIT_EXCEEDED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,PAYMENT_LINK,3.00,0.950000,10996.04,10993.04
FAIL_000007__UPDATE_PAYMENT_METHOD,FAIL_000007,PAY_000073,SUB_0008,CUST_0008,11574.78,LIMIT_EXCEEDED,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,UPDATE_PAYMENT_METHOD,3.00,0.935191,10824.63,10821.63
FAIL_000008__RETRY_NOW,FAIL_000008,PAY_000077,SUB_0008,CUST_0008,11574.78,INSUFFICIENT_FUNDS,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,RETRY_NOW,2.00,0.935154,10824.21,10822.21
FAIL_000008__WAIT_AND_RETRY,FAIL_000008,PAY_000077,SUB_0008,CUST_0008,11574.78,INSUFFICIENT_FUNDS,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,WAIT_AND_RETRY,2.00,0.950000,10996.04,10994.04
FAIL_000008__SEND_REMINDER,FAIL_000008,PAY_000077,SUB_0008,CUST_0008,11574.78,INSUFFICIENT_FUNDS,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,SEND_REMINDER,1.00,0.923978,10694.84,10693.84
FAIL_000008__PAYMENT_LINK,FAIL_000008,PAY_000077,SUB_0008,CUST_0008,11574.78,INSUFFICIENT_FUNDS,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,PAYMENT_LINK,3.00,0.950000,10996.04,10993.04
FAIL_000008__UPDATE_PAYMENT_METHOD,FAIL_000008,PAY_000077,SUB_0008,CUST_0008,11574.78,INSUFFICIENT_FUNDS,400,11,2,13,0.846200,0.820000,0.900000,high_value_loyal,UPDATE_PAYMENT_METHOD,3.00,0.925887,10716.94,10713.94
FAIL_000009__RETRY_NOW,FAIL_000009,PAY_000087,SUB_0009,CUST_0009,2904.80,BANK_DECLINED,726,23,1,24,0.958300,0.800000,0.850000,reliable,RETRY_NOW,2.00,0.944355,2743.16,2741.16
FAIL_000009__WAIT_AND_RETRY,FAIL_000009,PAY_000087,SUB_0009,CUST_0009,2904.80,BANK_DECLINED,726,23,1,24,0.958300,0.800000,0.850000,reliable,WAIT_AND_RETRY,2.00,0.940640,2732.37,2730.37
FAIL_000009__SEND_REMINDER,FAIL_000009,PAY_000087,SUB_0009,CUST_0009,2904.80,BANK_DECLINED,726,23,1,24,0.958300,0.800000,0.850000,reliable,SEND_REMINDER,1.00,0.931092,2704.64,2703.64
FAIL_000009__PAYMENT_LINK,FAIL_000009,PAY_000087,SUB_0009,CUST_0009,2904.80,BANK_DECLINED,726,23,1,24,0.958300,0.800000,0.850000,reliable,PAYMENT_LINK,3.00,0.950000,2759.56,2756.56
FAIL_000009__UPDATE_PAYMENT_METHOD,FAIL_000009,PAY_000087,SUB_0009,CUST_0009,2904.80,BANK_DECLINED,726,23,1,24,0.958300,0.800000,0.850000,reliable,UPDATE_PAYMENT_METHOD,3.00,0.947975,2753.68,2750.68
FAIL_000010__RETRY_NOW,FAIL_000010,PAY_000097,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,RETRY_NOW,2.00,0.946904,2750.57,2748.57
FAIL_000010__WAIT_AND_RETRY,FAIL_000010,PAY_000097,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,WAIT_AND_RETRY,2.00,0.950000,2759.56,2757.56
FAIL_000010__SEND_REMINDER,FAIL_000010,PAY_000097,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,SEND_REMINDER,1.00,0.941862,2735.92,2734.92
FAIL_000010__PAYMENT_LINK,FAIL_000010,PAY_000097,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,PAYMENT_LINK,3.00,0.950000,2759.56,2756.56
FAIL_000010__UPDATE_PAYMENT_METHOD,FAIL_000010,PAY_000097,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,UPDATE_PAYMENT_METHOD,3.00,0.930661,2703.38,2700.38
FAIL_000011__RETRY_NOW,FAIL_000011,PAY_000099,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,RETRY_NOW,2.00,0.937551,2723.40,2721.40
FAIL_000011__WAIT_AND_RETRY,FAIL_000011,PAY_000099,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,WAIT_AND_RETRY,2.00,0.950000,2759.56,2757.56
FAIL_000011__SEND_REMINDER,FAIL_000011,PAY_000099,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,SEND_REMINDER,1.00,0.932895,2709.87,2708.87
FAIL_000011__PAYMENT_LINK,FAIL_000011,PAY_000099,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,PAYMENT_LINK,3.00,0.950000,2759.56,2756.56
FAIL_000011__UPDATE_PAYMENT_METHOD,FAIL_000011,PAY_000099,SUB_0009,CUST_0009,2904.80,INSUFFICIENT_FUNDS,726,23,1,24,0.958300,0.800000,0.850000,reliable,UPDATE_PAYMENT_METHOD,3.00,0.929267,2699.34,2696.34
FAIL_000012__RETRY_NOW,FAIL_000012,PAY_000110,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.166096,266.32,264.32
FAIL_000012__WAIT_AND_RETRY,FAIL_000012,PAY_000110,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.353087,566.14,564.14
FAIL_000012__SEND_REMINDER,FAIL_000012,PAY_000110,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.359610,576.60,575.60
FAIL_000012__PAYMENT_LINK,FAIL_000012,PAY_000110,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.351278,563.24,560.24
FAIL_000012__UPDATE_PAYMENT_METHOD,FAIL_000012,PAY_000110,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,UPDATE_PAYMENT_METHOD,3.00,0.362033,580.48,577.48
FAIL_000013__RETRY_NOW,FAIL_000013,PAY_000111,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.245038,392.89,390.89
FAIL_000013__WAIT_AND_RETRY,FAIL_000013,PAY_000111,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.331231,531.09,529.09
FAIL_000013__SEND_REMINDER,FAIL_000013,PAY_000111,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.255505,409.67,408.67
FAIL_000013__PAYMENT_LINK,FAIL_000013,PAY_000111,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.316834,508.01,505.01
FAIL_000013__UPDATE_PAYMENT_METHOD,FAIL_000013,PAY_000111,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,UPDATE_PAYMENT_METHOD,3.00,0.362862,581.81,578.81
FAIL_000014__RETRY_NOW,FAIL_000014,PAY_000115,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.150849,241.87,239.87
FAIL_000014__WAIT_AND_RETRY,FAIL_000014,PAY_000115,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.337191,540.65,538.65
FAIL_000014__SEND_REMINDER,FAIL_000014,PAY_000115,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.327951,525.83,524.83
FAIL_000014__PAYMENT_LINK,FAIL_000014,PAY_000115,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.326756,523.92,520.92
FAIL_000014__UPDATE_PAYMENT_METHOD,FAIL_000014,PAY_000115,SUB_0011,CUST_0011,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,UPDATE_PAYMENT_METHOD,3.00,0.351806,564.08,561.08
FAIL_000015__RETRY_NOW,FAIL_000015,PAY_000116,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.220832,354.08,352.08
FAIL_000015__WAIT_AND_RETRY,FAIL_000015,PAY_000116,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.430605,690.43,688.43
FAIL_000015__SEND_REMINDER,FAIL_000015,PAY_000116,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.321813,515.99,514.99
FAIL_000015__PAYMENT_LINK,FAIL_000015,PAY_000116,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.299937,480.92,477.92
FAIL_000015__UPDATE_PAYMENT_METHOD,FAIL_000015,PAY_000116,SUB_0011,CUST_0011,1603.39,BANK_DECLINED,275,5,4,9,0.555600,0.350000,0.450000,friction_prone,UPDATE_PAYMENT_METHOD,3.00,0.297329,476.73,473.73
FAIL_000016__RETRY_NOW,FAIL_000016,PAY_000128,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.370553,262.75,260.75
FAIL_000016__WAIT_AND_RETRY,FAIL_000016,PAY_000128,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.560329,397.31,395.31
FAIL_000016__SEND_REMINDER,FAIL_000016,PAY_000128,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.402741,285.57,284.57
FAIL_000016__PAYMENT_LINK,FAIL_000016,PAY_000128,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.493514,349.94,346.94
FAIL_000016__UPDATE_PAYMENT_METHOD,FAIL_000016,PAY_000128,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,UPDATE_PAYMENT_METHOD,3.00,0.514668,364.94,361.94
FAIL_000017__RETRY_NOW,FAIL_000017,PAY_000129,SUB_0013,CUST_0013,709.07,INSUFFICIENT_FUNDS,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.366064,259.57,257.57
FAIL_000017__WAIT_AND_RETRY,FAIL_000017,PAY_000129,SUB_0013,CUST_0013,709.07,INSUFFICIENT_FUNDS,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.516207,366.03,364.03
FAIL_000017__SEND_REMINDER,FAIL_000017,PAY_000129,SUB_0013,CUST_0013,709.07,INSUFFICIENT_FUNDS,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.364313,258.32,257.32
FAIL_000017__PAYMENT_LINK,FAIL_000017,PAY_000129,SUB_0013,CUST_0013,709.07,INSUFFICIENT_FUNDS,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.456235,323.50,320.50
FAIL_000017__UPDATE_PAYMENT_METHOD,FAIL_000017,PAY_000129,SUB_0013,CUST_0013,709.07,INSUFFICIENT_FUNDS,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,UPDATE_PAYMENT_METHOD,3.00,0.440560,312.39,309.39
FAIL_000018__RETRY_NOW,FAIL_000018,PAY_000133,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.433422,307.33,305.33
FAIL_000018__WAIT_AND_RETRY,FAIL_000018,PAY_000133,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.572768,406.13,404.13
FAIL_000018__SEND_REMINDER,FAIL_000018,PAY_000133,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.430724,305.41,304.41
FAIL_000018__PAYMENT_LINK,FAIL_000018,PAY_000133,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.510922,362.28,359.28
FAIL_000018__UPDATE_PAYMENT_METHOD,FAIL_000018,PAY_000133,SUB_0013,CUST_0013,709.07,BANK_DECLINED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,UPDATE_PAYMENT_METHOD,3.00,0.484157,343.30,340.30
FAIL_000019__RETRY_NOW,FAIL_000019,PAY_000134,SUB_0013,CUST_0013,709.07,CARD_EXPIRED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.436983,309.85,307.85
FAIL_000019__WAIT_AND_RETRY,FAIL_000019,PAY_000134,SUB_0013,CUST_0013,709.07,CARD_EXPIRED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.442289,313.61,311.61
FAIL_000019__SEND_REMINDER,FAIL_000019,PAY_000134,SUB_0013,CUST_0013,709.07,CARD_EXPIRED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.440645,312.45,311.45
FAIL_000019__PAYMENT_LINK,FAIL_000019,PAY_000134,SUB_0013,CUST_0013,709.07,CARD_EXPIRED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.454752,322.45,319.45
FAIL_000019__UPDATE_PAYMENT_METHOD,FAIL_000019,PAY_000134,SUB_0013,CUST_0013,709.07,CARD_EXPIRED,438,12,2,14,0.857100,0.350000,0.450000,friction_prone,UPDATE_PAYMENT_METHOD,3.00,0.658821,467.15,464.15
FAIL_000020__RETRY_NOW,FAIL_000020,PAY_000151,SUB_0014,CUST_0014,2172.96,INSUFFICIENT_FUNDS,556,17,1,18,0.944400,0.800000,0.850000,reliable,RETRY_NOW,2.00,0.943169,2049.47,2047.47
FAIL_000020__WAIT_AND_RETRY,FAIL_000020,PAY_000151,SUB_0014,CUST_0014,2172.96,INSUFFICIENT_FUNDS,556,17,1,18,0.944400,0.800000,0.850000,reliable,WAIT_AND_RETRY,2.00,0.950000,2064.31,2062.31
FAIL_000020__SEND_REMINDER,FAIL_000020,PAY_000151,SUB_0014,CUST_0014,2172.96,INSUFFICIENT_FUNDS,556,17,1,18,0.944400,0.800000,0.850000,reliable,SEND_REMINDER,1.00,0.933045,2027.47,2026.47
FAIL_000020__PAYMENT_LINK,FAIL_000020,PAY_000151,SUB_0014,CUST_0014,2172.96,INSUFFICIENT_FUNDS,556,17,1,18,0.944400,0.800000,0.850000,reliable,PAYMENT_LINK,3.00,0.950000,2064.31,2061.31
FAIL_000020__UPDATE_PAYMENT_METHOD,FAIL_000020,PAY_000151,SUB_0014,CUST_0014,2172.96,INSUFFICIENT_FUNDS,556,17,1,18,0.944400,0.800000,0.850000,reliable,UPDATE_PAYMENT_METHOD,3.00,0.930900,2022.81,2019.81
FAIL_000021__RETRY_NOW,FAIL_000021,PAY_000164,SUB_0015,CUST_0015,1187.03,CARD_EXPIRED,849,18,10,28,0.642900,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.307967,365.57,363.57
FAIL_000021__WAIT_AND_RETRY,FAIL_000021,PAY_000164,SUB_0015,CUST_0015,1187.03,CARD_EXPIRED,849,18,10,28,0.642900,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.290653,345.01,343.01
FAIL_000021__SEND_REMINDER,FAIL_000021,PAY_000164,SUB_0015,CUST_0015,1187.03,CARD_EXPIRED,849,18,10,28,0.642900,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.309368,367.23,366.23
FAIL_000021__PAYMENT_LINK,FAIL_000021,PAY_000164,SUB_0015,CUST_0015,1187.03,CARD_EXPIRED,849,18,10,28,0.642900,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.349549,414.93,411.93
FAIL_000021__UPDATE_PAYMENT_METHOD,FAIL_000021,PAY_000164,SUB_0015,CUST_0015,1187.03,CARD_EXPIRED,849,18,10,28,0.642900,0.350000,0.450000,friction_prone,UPDATE_PAYMENT_METHOD,3.00,0.514253,610.43,607.43
FAIL_000022__RETRY_NOW,FAIL_000022,PAY_000165,SUB_0015,CUST_0015,1187.03,NETWORK_ERROR,849,18,10,28,0.642900,0.350000,0.450000,friction_prone,RETRY_NOW,2.00,0.524907,623.08,621.08
FAIL_000022__WAIT_AND_RETRY,FAIL_000022,PAY_000165,SUB_0015,CUST_0015,1187.03,NETWORK_ERROR,849,18,10,28,0.642900,0.350000,0.450000,friction_prone,WAIT_AND_RETRY,2.00,0.508012,603.03,601.03
FAIL_000022__SEND_REMINDER,FAIL_000022,PAY_000165,SUB_0015,CUST_0015,1187.03,NETWORK_ERROR,849,18,10,28,0.642900,0.350000,0.450000,friction_prone,SEND_REMINDER,1.00,0.365866,434.29,433.29
FAIL_000022__PAYMENT_LINK,FAIL_000022,PAY_000165,SUB_0015,CUST_0015,1187.03,NETWORK_ERROR,849,18,10,28,0.642900,0.350000,0.450000,friction_prone,PAYMENT_LINK,3.00,0.296926,352.46,349.46
