subscription_id,customer_id,plan,monthly_amount,billing_interval,start_date,next_billing_date,status
SUB_0068,CUST_0068,pro,2221.68,monthly,2025-07-07,2026-08-31,active
SUB_0069,CUST_0069,pro,12247.55,monthly,2025-10-08,2026-09-03,active
SUB_0070,CUST_0070,growth,11107.73,monthly,2025-02-10,2026-09-03,active
SUB_0071,CUST_0071,pro,3230.54,monthly,2026-01-31,2026-09-28,active
SUB_0072,CUST_0072,pro,614.63,monthly,2026-02-27,2026-09-25,active
SUB_0073,CUST_0073,pro,1637.14,monthly,2025-04-15,2026-09-07,active
SUB_0074,CUST_0074,starter,756.59,monthly,2026-02-27,2026-09-25,active
SUB_0075,CUST_0075,growth,1193.94,monthly,2026-06-21,2026-09-19,active
SUB_0076,CUST_0076,starter,677.01,monthly,2025-02-11,2026-09-04,active
SUB_0077,CUST_0077,starter,618.81,monthly,2024-01-05,2026-09-21,active
SUB_0078,CUST_0078,starter,697.74,monthly,2026-03-19,2026-09-15,active
SUB_0079,CUST_0079,pro,2676.77,monthly,2024-07-23,2026-09-11,active
SUB_0080,CUST_0080,growth,10046.48,monthly,2024-02-17,2026-09-04,active
SUB_0081,CUST_0081,pro,9640.99,monthly,2025-04-28,2026-09-20,active
SUB_0082,CUST_0082,growth,622.31,monthly,2025-01-29,2026-09-21,active
SUB_0083,CUST_0083,starter,1152.82,monthly,2024-06-26,2026-09-14,active
SUB_0084,CUST_0084,pro,10128.97,monthly,2025-11-14,2026-09-10,active
SUB_0085,CUST_0085,pro,13160.39,monthly,2024-01-27,2026-09-13,active
SUB_0086,CUST_0086,pro,3020.86,monthly,2026-06-30,2026-09-28,active
SUB_0087,CUST_0087,pro,12514.87,monthly,2026-06-26,2026-09-24,active
SUB_0088,CUST_0088,starter,391.81,monthly,2025-07-26,2026-09-19,active
SUB_0089,CUST_0089,growth,5310.59,monthly,2025-02-16,2026-09-09,active
SUB_0090,CUST_0090,pro,2363.03,monthly,2025-01-14,2026-09-06,active
SUB_0091,CUST_0091,growth,4944.64,monthly,2024-07-27,2026-09-15,active
SUB_0092,CUST_0092,pro,1483.62,monthly,2025-11-17,2026-09-13,active
SUB_0093,CUST_0093,starter,333.96,monthly,2024-07-24,2026-09-12,active
SUB_0094,CUST_0094,starter,251.16,monthly,2026-03-06,2026-09-02,active
SUB_0095,CUST_0095,growth,1425.63,monthly,2025-02-19,2026-09-12,active
SUB_0096,CUST_0096,starter,722.92,monthly,2025-03-09,2026-08-31,active
SUB_0097,CUST_0097,pro,4903.48,monthly,2025-06-16,2026-09-09,active
SUB_0098,CUST_0098,pro,1282.95,monthly,2024-06-18,2026-09-06,active
SUB_0099,CUST_0099,starter,2030.82,monthly,2024-11-27,2026-09-18,active
SUB_0100,CUST_0100,growth,1882.04,monthly,2024-08-08,2026-09-27,active
SUB_0101,CUST_0101,starter,247.97,monthly,2023-12-18,2026-09-03,active
SUB_0102,CUST_0102,growth,689.76,monthly,2025-01-14,2026-09-06,active
SUB_0103,CUST_0103,pro,10145.96,monthly,2024-05-16,2026-09-03,active
SUB_0104,CUST_0104,pro,6500.08,monthly,2024-04-06,2026-09-23,active
SUB_0105,CUST_0105,growth,11399.41,monthly,2026-02-25,2026-09-23,active
SUB_0106,CUST_0106,starter,1201.46,monthly,2024-06-11,2026-09-29,active
SUB_0107,CUST_0107,starter,1689.93,monthly,2025-06-21,2026-09-14,active
SUB_0108,CUST_0108,starter,200,monthly,2024-01-31,2026-09-17,active
SUB_0109,CUST_0109,growth,1524.5,monthly,2026-01-01,2026-09-28,active
SUB_0110,CUST_0110,starter,697.76,monthly,2024-06-19,2026-09-07,active
SUB_0111,CUST_0111,pro,7138.36,monthly,2025-06-08,2026-09-01,active
SUB_0112,CUST_0112,starter,553.77,monthly,2024-10-07,2026-09-27,active
SUB_0113,CUST_0113,starter,324.58,monthly,2024-08-10,2026-09-29,active
SUB_0114,CUST_0114,starter,1245.75,monthly,2025-07-08,2026-09-01,active
SUB_0115,CUST_0115,pro,11014.39,monthly,2026-01-24,2026-09-21,active
SUB_0116,CUST_0116,growth,2901.8,monthly,2024-06-09,2026-09-27,active
SUB_0117,CUST_0117,growth,1714.93,monthly,2024-04-18,2026-09-05,active
SUB_0118,CUST_0118,growth,8253.7,monthly,2025-10-27,2026-09-22,active
SUB_0119,CUST_0119,pro,15000,monthly,2023-12-23,2026-09-08,active
SUB_0120,CUST_0120,growth,1809.15,monthly,2024-07-31,2026-09-19,active
SUB_0121,CUST_0121,starter,746.25,monthly,2024-01-17,2026-09-03,active
SUB_0122,CUST_0122,pro,2857.25,monthly,2025-03-28,2026-09-19,active
SUB_0123,CUST_0123,pro,11232.86,monthly,2023-12-09,2026-09-24,active
SUB_0124,CUST_0124,growth,3507.97,monthly,2024-06-21,2026-09-09,active
SUB_0125,CUST_0125,pro,10848.47,monthly,2024-07-22,2026-09-10,active
SUB_0126,CUST_0126,growth,491.89,monthly,2026-01-02,2026-09-29,active
SUB_0127,CUST_0127,pro,861.92,monthly,2024-09-13,2026-09-03,active
SUB_0128,CUST_0128,pro,14456.27,monthly,2024-10-19,2026-09-09,active
SUB_0129,CUST_0129,starter,1254.19,monthly,2025-10-05,2026-08-31,active
SUB_0130,CUST_0130,starter,785.26,monthly,2025-01-22,2026-09-14,active
SUB_0131,CUST_0131,starter,569.52,monthly,2024-10-22,2026-09-12,active
SUB_0132,CUST_0132,starter,327.39,monthly,2025-11-18,2026-09-14,active
SUB_0133,CUST_0133,pro,3624.04,monthly,2025-06-14,2026-09-07,active
SUB_0134,CUST_0134,pro,14862.89,monthly,2025-12-20,2026-09-16,active
SUB_0135,CUST_0135,growth,771.04,monthly,2024-01-28,2026-09-14,active
SUB_0136,CUST_0136,starter,671.28,monthly,2024-09-03,2026-09-23,active
SUB_0137,CUST_0137,growth,1355.73,monthly,2024-01-02,2026-09-18,active
SUB_0138,CUST_0138,pro,1037.22,monthly,2025-07-27,2026-09-20,active
SUB_0139,CUST_0139,growth,5276.03,monthly,2025-02-28,2026-09-21,active
SUB_0140,CUST_0140,pro,9608.24,monthly,2024-07-14,2026-09-02,active
SUB_0141,CUST_0141,starter,702.86,monthly,2025-02-10,2026-09-03,active
SUB_0142,CUST_0142,pro,552.32,monthly,2025-07-04,2026-09-27,active
SUB_0143,CUST_0143,starter,890.67,monthly,2025-12-15,2026-09-11,active
SUB_0144,CUST_0144,growth,5420.76,monthly,2026-07-23,2026-09-21,active
SUB_0145,CUST_0145,growth,1162.18,monthly,2024-05-19,2026-09-06,active
SUB_0146,CUST_0146,starter,683.85,monthly,2026-04-27,2026-09-24,active
SUB_0147,CUST_0147,growth,5797.44,monthly,2024-06-26,2026-09-14,active
SUB_0148,CUST_0148,pro,9267.28,monthly,2025-09-19,2026-09-14,active
SUB_0149,CUST_0149,pro,13186.55,monthly,2025-02-21,2026-09-14,active
SUB_0150,CUST_0150,starter,1013.25,monthly,2024-12-12,2026-09-03,active
SUB_0151,CUST_0151,pro,1459.65,monthly,2025-10-18,2026-09-13,active
SUB_0152,CUST_0152,pro,979.43,monthly,2024-10-11,2026-09-01,active
SUB_0153,CUST_0153,starter,1228.93,monthly,2026-04-20,2026-09-17,active
SUB_0154,CUST_0154,starter,413.01,monthly,2024-06-09,2026-09-27,active
SUB_0155,CUST_0155,starter,663.98,monthly,2024-01-04,2026-09-20,active
SUB_0156,CUST_0156,pro,985.5,monthly,2024-07-10,2026-09-28,active
SUB_0157,CUST_0157,growth,1055.05,monthly,2025-11-18,2026-09-14,active
SUB_0158,CUST_0158,pro,2492.3,monthly,2025-01-18,2026-09-10,active
SUB_0159,CUST_0159,pro,5941.61,monthly,2024-08-09,2026-09-28,active
SUB_0160,CUST_0160,starter,730.63,monthly,2026-05-09,2026-09-06,active
SUB_0161,CUST_0161,pro,9716.42,monthly,2024-01-27,2026-09-13,active
SUB_0162,CUST_0162,starter,293.46,monthly,2024-01-21,2026-09-07,active
SUB_0163,CUST_0163,pro,1748.55,monthly,2024-12-28,2026-09-19,active
SUB_0164,CUST_0164,starter,873.36,monthly,2026-06-11,2026-09-09,active
SUB_0165,CUST_0165,pro,3582.84,monthly,2025-08-20,2026-09-14,active
SUB_0166,CUST_0166,starter,365.57,monthly,2024-10-08,2026-09-28,active
SUB_0167,CUST_0167,pro,7677.48,monthly,2025-03-01,2026-09-22,active
SUB_0168,CUST_0168,starter,1204.32,monthly,2024-10-07,2026-09-27,active
SUB_0169,CUST_0169,pro,14872.16,monthly,2024-12-10,2026-09-01,active
SUB_0170,CUST_0170,starter,476.76,monthly,2025-06-13,2026-09-06,active
SUB_0171,CUST_0171,pro,14917.0,monthly,2024-01-15,2026-09-01,active
SUB_0172,CUST_0172,pro,7519.64,monthly,2025-02-04,2026-09-27,active
SUB_0173,CUST_0173,growth,655.36,monthly,2024-06-09,2026-09-27,active
SUB_0174,CUST_0174,starter,623.9,monthly,2024-11-28,2026-09-19,active
SUB_0175,CUST_0175,growth,401.17,monthly,2024-10-31,2026-09-21,active
SUB_0176,CUST_0176,growth,1639.0,monthly,2026-04-06,2026-09-03,active
SUB_0177,CUST_0177,pro,625.68,monthly,2025-07-30,2026-09-23,active
SUB_0178,CUST_0178,growth,543.19,monthly,2026-05-16,2026-09-13,active
SUB_0179,CUST_0179,pro,5192.62,monthly,2025-10-01,2026-09-26,active
SUB_0180,CUST_0180,growth,1171.97,monthly,2024-09-20,2026-09-10,active
SUB_0181,CUST_0181,growth,860.38,monthly,2024-09-05,2026-09-25,active
SUB_0182,CUST_0182,growth,3068.11,monthly,2025-05-14,2026-09-06,active
SUB_0183,CUST_0183,pro,640.85,monthly,2025-11-27,2026-09-23,active
SUB_0184,CUST_0184,growth,11857.91,monthly,2025-04-30,2026-09-22,active
SUB_0185,CUST_0185,starter,1346.61,monthly,2024-04-16,2026-09-03,active
SUB_0186,CUST_0186,starter,2567.59,monthly,2024-06-16,2026-09-04,active
SUB_0187,CUST_0187,starter,621.6,monthly,2025-10-24,2026-09-19,active
SUB_0188,CUST_0188,growth,221.49,monthly,2024-10-22,2026-09-12,active
SUB_0189,CUST_0189,growth,1208.58,monthly,2026-04-13,2026-09-10,active
SUB_0190,CUST_0190,starter,880.29,monthly,2025-10-11,2026-09-06,active
SUB_0191,CUST_0191,starter,500.8,monthly,2024-07-01,2026-09-19,active
SUB_0192,CUST_0192,growth,378.71,monthly,2025-04-28,2026-09-20,active
SUB_0193,CUST_0193,growth,1194.76,monthly,2024-03-20,2026-09-06,active
SUB_0194,CUST_0194,pro,3368.12,monthly,2024-09-01,2026-09-21,active
SUB_0195,CUST_0195,pro,4257.08,monthly,2026-01-02,2026-09-29,active
SUB_0196,CUST_0196,pro,1000.06,monthly,2026-06-23,2026-09-21,active
SUB_0197,CUST_0197,starter,515.28,monthly,2026-05-20,2026-09-17,active
SUB_0198,CUST_0198,growth,10322.59,monthly,2024-10-24,2026-09-14,active
SUB_0199,CUST_0199,pro,5484.95,monthly,2024-05-07,2026-09-24,active
SUB_0200,CUST_0200,starter,339.89,monthly,2024-03-11,2026-09-27,active
SUB_0201,CUST_0201,growth,1286.25,monthly,2026-03-16,2026-09-12,active
SUB_0202,CUST_0202,growth,324.57,monthly,2026-04-11,2026-09-08,active
SUB_0203,CUST_0203,growth,775.95,monthly,2026-01-11,2026-09-08,active
SUB_0204,CUST_0204,starter,213.4,monthly,2025-06-12,2026-09-05,active
SUB_0205,CUST_0205,pro,11719.99,monthly,2025-07-24,2026-09-17,active
SUB_0206,CUST_0206,pro,535.18,monthly,2026-06-20,2026-09-18,active
SUB_0207,CUST_0207,pro,1213.6,monthly,2025-07-18,2026-09-11,active
SUB_0208,CUST_0208,starter,355.21,monthly,2025-01-20,2026-09-12,active
SUB_0209,CUST_0209,pro,3110.62,monthly,2026-02-28,2026-09-26,active
SUB_0210,CUST_0210,pro,799.69,monthly,2025-03-25,2026-09-16,active
SUB_0211,CUST_0211,starter,1170.85,monthly,2023-12-05,2026-09-20,active
SUB_0212,CUST_0212,starter,404.59,monthly,2024-04-05,2026-09-22,active
SUB_0213,CUST_0213,growth,793.46,monthly,2024-08-26,2026-09-15,active
SUB_0214,CUST_0214,pro,12636.68,monthly,2024-05-21,2026-09-08,active
SUB_0215,CUST_0215,growth,7312.97,monthly,2025-05-08,2026-08-31,active
SUB_0216,CUST_0216,growth,851.26,monthly,2024-09-14,2026-09-04,active
SUB_0217,CUST_0217,growth,437.85,monthly,2024-04-20,2026-09-07,active
SUB_0218,CUST_0218,pro,7125.56,monthly,2025-09-13,2026-09-08,active
SUB_0219,CUST_0219,starter,454.09,monthly,2024-03-27,2026-09-13,active
SUB_0220,CUST_0220,growth,9421.78,monthly,2026-03-30,2026-09-26,active
SUB_0221,CUST_0221,pro,3408.64,monthly,2025-09-01,2026-09-26,active
SUB_0222,CUST_0222,growth,1605.38,monthly,2025-04-26,2026-09-18,active
SUB_0223,CUST_0223,starter,819.65,monthly,2025-01-31,2026-09-23,active
SUB_0224,CUST_0224,growth,1274.95,monthly,2026-01-09,2026-09-06,active
SUB_0225,CUST_0225,pro,7537.84,monthly,2024-02-02,2026-09-19,active
SUB_0226,CUST_0226,growth,974.55,monthly,2025-06-20,2026-09-13,active
SUB_0227,CUST_0227,pro,9730.73,monthly,2024-10-28,2026-09-18,active
SUB_0228,CUST_0228,growth,662.65,monthly,2025-12-11,2026-09-07,active
SUB_0229,CUST_0229,pro,902.45,monthly,2025-04-07,2026-09-29,active
SUB_0230,CUST_0230,starter,937.32,monthly,2026-05-11,2026-09-08,active
SUB_0231,CUST_0231,starter,812.86,monthly,2025-10-13,2026-09-08,active
SUB_0232,CUST_0232,growth,1144.51,monthly,2025-09-06,2026-09-01,active
SUB_0233,CUST_0233,pro,6610.47,monthly,2025-09-15,2026-09-10,active
SUB_0234,CUST_0234,pro,992.15,monthly,2024-01-26,2026-09-12,active
SUB_0235,CUST_0235,pro,1093.64,monthly,2024-12-10,2026-09-01,active
SUB_0236,CUST_0236,growth,1414.91,monthly,2025-01-06,2026-09-28,active
SUB_0237,CUST_0237,starter,1122.72,monthly,2026-05-22,2026-09-19,active
SUB_0238,CUST_0238,starter,746.31,monthly,2025-04-23,2026-09-15,active
SUB_0239,CUST_0239,pro,15000,monthly,2024-10-13,2026-09-03,active
SUB_0240,CUST_0240,growth,2643.64,monthly,2025-04-08,2026-08-31,active
SUB_0241,CUST_0241,pro,15000,monthly,2026-01-18,2026-09-15,active
SUB_0242,CUST_0242,starter,408.16,monthly,2025-07-30,2026-09-23,active
SUB_0243,CUST_0243,starter,928.54,monthly,2025-06-04,2026-09-27,active
SUB_0244,CUST_0244,growth,1067.83,monthly,2024-02-01,2026-09-18,active
SUB_0245,CUST_0245,pro,4573.71,monthly,2024-07-13,2026-09-01,active
SUB_0246,CUST_0246,growth,1197.51,monthly,2025-03-02,2026-09-23,active
SUB_0247,CUST_0247,starter,450.31,monthly,2025-11-21,2026-09-17,active
SUB_0248,CUST_0248,starter,200,monthly,2024-09-28,2026-09-18,active
SUB_0249,CUST_0249,pro,347.81,monthly,2025-12-29,2026-09-25,active
SUB_0250,CUST_0250,growth,10968.64,monthly,2024-12-12,2026-09-03,active
SUB_0251,CUST_0251,growth,2072.59,monthly,2024-01-18,2026-09-04,active
SUB_0252,CUST_0252,starter,609.3,monthly,2024-09-05,2026-09-25,active
SUB_0253,CUST_0253,growth,762.66,monthly,2024-07-25,2026-09-13,active
SUB_0254,CUST_0254,pro,1610.91,monthly,2025-03-04,2026-09-25,active
SUB_0255,CUST_0255,starter,893.84,monthly,2025-03-17,2026-09-08,active
SUB_0256,CUST_0256,starter,904.37,monthly,2024-02-14,2026-09-01,active
SUB_0257,CUST_0257,pro,13540.03,monthly,2026-04-30,2026-09-27,active
SUB_0258,CUST_0258,starter,1337.6,monthly,2026-04-29,2026-09-26,active
SUB_0259,CUST_0259,starter,432.07,monthly,2024-11-12,2026-09-03,active
SUB_0260,CUST_0260,growth,8195.0,monthly,2024-03-08,2026-09-24,active
SUB_0261,CUST_0261,starter,768.63,monthly,2026-01-31,2026-09-28,active
SUB_0262,CUST_0262,starter,1739.87,monthly,2024-06-15,2026-09-03,active
SUB_0263,CUST_0263,pro,15000,monthly,2025-03-14,2026-09-05,active
SUB_0264,CUST_0264,pro,457.82,monthly,2025-11-13,2026-09-09,active
SUB_0265,CUST_0265,starter,1357.52,monthly,2026-01-14,2026-09-11,active
SUB_0266,CUST_0266,pro,7064.02,monthly,2024-01-30,2026-09-16,active
SUB_0267,CUST_0267,starter,768.06,monthly,2025-04-25,2026-09-17,active
SUB_0268,CUST_0268,growth,648.75,monthly,2024-06-04,2026-09-22,active
SUB_0269,CUST_0269,growth,1477.76,monthly,2026-03-01,2026-09-27,active
SUB_0270,CUST_0270,pro,462.89,monthly,2025-10-27,2026-09-22,active
SUB_0271,CUST_0271,pro,4185.02,monthly,2025-07-04,2026-09-27,active
SUB_0272,CUST_0272,starter,585.74,monthly,2026-03-19,2026-09-15,active
SUB_0273,CUST_0273,pro,11396.28,monthly,2025-04-06,2026-09-28,active
SUB_0274,CUST_0274,starter,228.33,monthly,2026-03-23,2026-09-19,active
SUB_0275,CUST_0275,pro,563.78,monthly,2025-02-01,2026-09-24,active
SUB_0276,CUST_0276,starter,382.33,monthly,2024-11-28,2026-09-19,active
SUB_0277,CUST_0277,starter,470.05,monthly,2024-12-17,2026-09-08,active
SUB_0278,CUST_0278,growth,1144.71,monthly,2026-04-10,2026-09-07,active
SUB_0279,CUST_0279,pro,1302.62,monthly,2024-08-02,2026-09-21,active
SUB_0280,CUST_0280,starter,454.9,monthly,2026-01-28,2026-09-25,active
SUB_0281,CUST_0281,growth,913.36,monthly,2024-08-01,2026-09-20,active
SUB_0282,CUST_0282,starter,200,monthly,2026-06-07,2026-09-05,active
SUB_0283,CUST_0283,pro,7559.48,monthly,2025-04-23,2026-09-15,active
SUB_0284,CUST_0284,growth,287.21,monthly,2026-07-04,2026-09-02,active
SUB_0285,CUST_0285,growth,472.43,monthly,2025-03-01,2026-09-22,active
SUB_0286,CUST_0286,starter,1293.21,monthly,2024-11-29,2026-09-20,active
SUB_0287,CUST_0287,pro,11785.54,monthly,2025-04-02,2026-09-24,active
SUB_0288,CUST_0288,growth,1223.26,monthly,2025-11-12,2026-09-08,active
SUB_0289,CUST_0289,starter,1199.82,monthly,2025-01-17,2026-09-09,active
SUB_0290,CUST_0290,pro,2040.67,monthly,2025-07-12,2026-09-05,active
SUB_0291,CUST_0291,starter,1068.05,monthly,2025-11-10,2026-09-06,active
SUB_0292,CUST_0292,starter,937.8,monthly,2024-11-14,2026-09-05,active
SUB_0293,CUST_0293,starter,780.36,monthly,2026-07-28,2026-09-26,active
SUB_0294,CUST_0294,pro,9361.25,monthly,2025-03-29,2026-09-20,active
SUB_0295,CUST_0295,starter,454.8,monthly,2026-05-10,2026-09-07,active
SUB_0296,CUST_0296,growth,2367.66,monthly,2025-01-10,2026-09-02,active
SUB_0297,CUST_0297,growth,3953.29,monthly,2026-07-15,2026-09-13,active
SUB_0298,CUST_0298,pro,706.23,monthly,2024-05-16,2026-09-03,active
SUB_0299,CUST_0299,pro,8559.42,monthly,2024-11-29,2026-09-20,active
SUB_0300,CUST_0300,growth,1306.39,monthly,2023-12-27,2026-09-12,active
SUB_0301,CUST_0301,starter,627.37,monthly,2024-11-05,2026-09-26,active
SUB_0302,CUST_0302,starter,548.74,monthly,2026-02-01,2026-09-29,active
SUB_0303,CUST_0303,growth,1311.68,monthly,2024-06-26,2026-09-14,active
SUB_0304,CUST_0304,pro,5470.67,monthly,2026-02-06,2026-09-04,active
SUB_0305,CUST_0305,starter,200,monthly,2025-01-11,2026-09-03,active
SUB_0306,CUST_0306,growth,11449.16,monthly,2024-07-10,2026-09-28,active
SUB_0307,CUST_0307,pro,2288.88,monthly,2024-10-28,2026-09-18,active
SUB_0308,CUST_0308,starter,1193.71,monthly,2025-07-22,2026-09-15,active
SUB_0309,CUST_0309,pro,1591.11,monthly,2025-08-04,2026-09-28,active
SUB_0310,CUST_0310,growth,1814.35,monthly,2026-01-20,2026-09-17,active
SUB_0311,CUST_0311,pro,3905.75,monthly,2024-08-17,2026-09-06,active
SUB_0312,CUST_0312,pro,13871.79,monthly,2025-04-19,2026-09-11,active
SUB_0313,CUST_0313,growth,1783.18,monthly,2026-02-16,2026-09-14,active
SUB_0314,CUST_0314,starter,2055.11,monthly,2024-09-18,2026-09-08,active
SUB_0315,CUST_0315,pro,13496.14,monthly,2025-08-19,2026-09-13,active
SUB_0316,CUST_0316,starter,389.48,monthly,2025-12-16,2026-09-12,active
SUB_0317,CUST_0317,starter,1595.17,monthly,2025-03-16,2026-09-07,active
SUB_0318,CUST_0318,pro,9947.05,monthly,2025-10-09,2026-09-04,active
SUB_0319,CUST_0319,pro,354.6,monthly,2026-05-25,2026-09-22,active
SUB_0320,CUST_0320,pro,9080.78,monthly,2024-10-15,2026-09-05,active
SUB_0321,CUST_0321,pro,12689.54,monthly,2026-01-29,2026-09-26,active
SUB_0322,CUST_0322,starter,676.83,monthly,2024-12-13,2026-09-04,active
SUB_0323,CUST_0323,starter,262.8,monthly,2024-10-15,2026-09-05,active
SUB_0324,CUST_0324,starter,1146.12,monthly,2026-02-23,2026-09-21,active
SUB_0325,CUST_0325,starter,726.01,monthly,2024-08-11,2026-08-31,active
SUB_0326,CUST_0326,growth,1188.57,monthly,2026-05-13,2026-09-10,active
SUB_0327,CUST_0327,growth,721.77,monthly,2026-06-28,2026-09-26,active
SUB_0328,CUST_0328,growth,4893.6,monthly,2026-04-01,2026-09-28,active
SUB_0329,CUST_0329,starter,483.89,monthly,2026-01-02,2026-09-29,active
SUB_0330,CUST_0330,pro,998.82,monthly,2024-03-08,2026-09-24,active
SUB_0331,CUST_0331,pro,13126.22,monthly,2024-06-11,2026-09-29,active
SUB_0332,CUST_0332,starter,270.98,monthly,2026-04-18,2026-09-15,active
SUB_0333,CUST_0333,growth,1523.74,monthly,2026-01-07,2026-09-04,active
SUB_0334,CUST_0334,growth,382.28,monthly,2025-10-25,2026-09-20,active
SUB_0335,CUST_0335,pro,997.42,monthly,2025-03-17,2026-09-08,active
