customer_id,account_age_days,successful_payments,failed_payments,total_payments,payment_success_rate,monthly_subscription_value,historical_recovery_rate,engagement_score,behavior_profile
CUST_0033,829,25,2,27,0.9259,1494,0.8,0.85,reliable
CUST_0034,743,21,3,24,0.875,2480,0.8,0.85,reliable
CUST_0035,476,14,1,15,0.9333,5116,0.82,0.9,high_value_loyal
CUST_0036,316,5,5,10,0.5,1205,0.35,0.45,friction_prone
CUST_0037,841,25,3,28,0.8929,5956,0.82,0.9,high_value_loyal
CUST_0038,339,8,3,11,0.7273,1261,0.6,0.6,normal
CUST_0039,481,14,2,16,0.875,7883,0.82,0.9,high_value_loyal
CUST_0040,261,7,1,8,0.875,1183,0.3,0.25,low_engagement
CUST_0041,1000,33,0,33,1.0,1745,0.8,0.85,reliable
CUST_0042,995,31,2,33,0.9394,6280,0.82,0.9,high_value_loyal
CUST_0043,67,2,0,2,1.0,531,0.3,0.25,low_engagement
CUST_0044,821,24,3,27,0.8889,981,0.8,0.85,reliable
CUST_0045,540,16,2,18,0.8889,305,0.6,0.6,normal
CUST_0046,773,18,7,25,0.72,275,0.35,0.45,friction_prone
CUST_0047,544,14,4,18,0.7778,1392,0.6,0.6,normal
CUST_0048,354,10,1,11,0.9091,9228,0.82,0.9,high_value_loyal
CUST_0049,484,16,0,16,1.0,2888,0.8,0.85,reliable
CUST_0050,267,7,1,8,0.875,1204,0.6,0.6,normal
CUST_0051,631,12,9,21,0.5714,786,0.35,0.45,friction_prone
CUST_0052,651,19,2,21,0.9048,1049,0.6,0.6,normal
CUST_0053,543,8,10,18,0.4444,1009,0.3,0.25,low_engagement
CUST_0054,44,1,0,1,1.0,4012,0.82,0.9,high_value_loyal
CUST_0055,407,12,1,13,0.9231,9749,0.82,0.9,high_value_loyal
CUST_0056,961,28,4,32,0.875,5260,0.82,0.9,high_value_loyal
CUST_0057,155,4,1,5,0.8,343,0.6,0.6,normal
CUST_0058,835,24,3,27,0.8889,965,0.8,0.85,reliable
CUST_0059,517,16,1,17,0.9412,2316,0.8,0.85,reliable
CUST_0060,950,30,1,31,0.9677,881,0.8,0.85,reliable
CUST_0061,128,4,0,4,1.0,7600,0.82,0.9,high_value_loyal
CUST_0062,367,9,3,12,0.75,693,0.3,0.25,low_engagement
CUST_0063,897,26,3,29,0.8966,998,0.6,0.6,normal
CUST_0064,408,11,2,13,0.8462,741,0.6,0.6,normal
CUST_0065,146,4,0,4,1.0,739,0.3,0.25,low_engagement
CUST_0066,76,1,1,2,0.5,312,0.35,0.45,friction_prone
CUST_0067,239,7,0,7,1.0,1219,0.8,0.85,reliable
CUST_0068,419,13,0,13,1.0,1611,0.6,0.6,normal
CUST_0069,326,10,0,10,1.0,7824,0.82,0.9,high_value_loyal
CUST_0070,566,17,1,18,0.9444,9218,0.82,0.9,high_value_loyal
CUST_0071,211,6,1,7,0.8571,1823,0.8,0.85,reliable
CUST_0072,184,5,1,6,0.8333,351,0.35,0.45,friction_prone
CUST_0073,502,10,6,16,0.625,1174,0.35,0.45,friction_prone
CUST_0074,184,2,4,6,0.3333,861,0.3,0.25,low_engagement
CUST_0075,70,2,0,2,1.0,1199,0.6,0.6,normal
CUST_0076,565,15,3,18,0.8333,879,0.3,0.25,low_engagement
CUST_0077,968,28,4,32,0.875,989,0.6,0.6,normal
CUST_0078,164,5,0,5,1.0,1124,0.3,0.25,low_engagement
CUST_0079,768,22,3,25,0.88,1613,0.6,0.6,normal
CUST_0080,925,28,2,30,0.9333,9216,0.82,0.9,high_value_loyal
CUST_0081,489,15,1,16,0.9375,7094,0.82,0.9,high_value_loyal
CUST_0082,578,17,2,19,0.8947,582,0.3,0.25,low_engagement
CUST_0083,795,17,9,26,0.6538,1312,0.35,0.45,friction_prone
CUST_0084,289,9,0,9,1.0,6276,0.82,0.9,high_value_loyal
CUST_0085,946,29,2,31,0.9355,9143,0.82,0.9,high_value_loyal
CUST_0086,61,2,0,2,1.0,1900,0.6,0.6,normal
CUST_0087,65,2,0,2,1.0,8285,0.82,0.9,high_value_loyal
CUST_0088,400,11,2,13,0.8462,581,0.35,0.45,friction_prone
CUST_0089,560,17,1,18,0.9444,5846,0.82,0.9,high_value_loyal
CUST_0090,593,19,0,19,1.0,1766,0.8,0.85,reliable
CUST_0091,764,22,3,25,0.88,5326,0.82,0.9,high_value_loyal
CUST_0092,286,8,1,9,0.8889,1201,0.8,0.85,reliable
CUST_0093,767,19,6,25,0.76,548,0.3,0.25,low_engagement
CUST_0094,177,3,2,5,0.6,333,0.3,0.25,low_engagement
CUST_0095,557,16,2,18,0.8889,1221,0.35,0.45,friction_prone
CUST_0096,539,10,7,17,0.5882,949,0.35,0.45,friction_prone
CUST_0097,440,13,1,14,0.9286,2784,0.8,0.85,reliable
CUST_0098,803,21,5,26,0.8077,830,0.35,0.45,friction_prone
CUST_0099,641,20,1,21,0.9524,2431,0.8,0.85,reliable
CUST_0100,752,24,1,25,0.96,1928,0.8,0.85,reliable
CUST_0101,986,26,6,32,0.8125,340,0.3,0.25,low_engagement
CUST_0102,593,18,1,19,0.9474,648,0.8,0.85,reliable
CUST_0103,836,22,5,27,0.8148,8232,0.82,0.9,high_value_loyal
CUST_0104,876,26,3,29,0.8966,4094,0.82,0.9,high_value_loyal
CUST_0105,186,5,1,6,0.8333,9569,0.82,0.9,high_value_loyal
CUST_0106,810,26,1,27,0.963,1781,0.6,0.6,normal
CUST_0107,435,13,1,14,0.9286,2221,0.8,0.85,reliable
CUST_0108,942,22,9,31,0.7097,232,0.35,0.45,friction_prone
CUST_0109,241,7,1,8,0.875,1405,0.6,0.6,normal
CUST_0110,802,20,6,26,0.7692,952,0.6,0.6,normal
CUST_0111,448,13,1,14,0.9286,4665,0.82,0.9,high_value_loyal
CUST_0112,692,16,7,23,0.6957,696,0.35,0.45,friction_prone
CUST_0113,750,20,5,25,0.8,537,0.3,0.25,low_engagement
CUST_0114,418,12,1,13,0.9231,1419,0.6,0.6,normal
CUST_0115,218,6,1,7,0.8571,8474,0.82,0.9,high_value_loyal
CUST_0116,812,27,0,27,1.0,2656,0.8,0.85,reliable
CUST_0117,864,17,11,28,0.6071,1360,0.35,0.45,friction_prone
CUST_0118,307,9,1,10,0.9,9162,0.82,0.9,high_value_loyal
CUST_0119,981,27,5,32,0.8438,9537,0.82,0.9,high_value_loyal
CUST_0120,760,23,2,25,0.92,1784,0.6,0.6,normal
CUST_0121,956,25,6,31,0.8065,911,0.3,0.25,low_engagement
CUST_0122,520,15,2,17,0.8824,1789,0.6,0.6,normal
CUST_0123,995,31,2,33,0.9394,8549,0.82,0.9,high_value_loyal
CUST_0124,800,25,1,26,0.9615,3799,0.82,0.9,high_value_loyal
CUST_0125,769,23,2,25,0.92,8773,0.82,0.9,high_value_loyal
CUST_0126,240,8,0,8,1.0,533,0.6,0.6,normal
CUST_0127,716,19,4,23,0.8261,580,0.35,0.45,friction_prone
CUST_0128,680,20,2,22,0.9091,9519,0.82,0.9,high_value_loyal
CUST_0129,329,10,0,10,1.0,1412,0.6,0.6,normal
CUST_0130,585,9,10,19,0.4737,918,0.35,0.45,friction_prone
CUST_0131,677,15,7,22,0.6818,918,0.3,0.25,low_engagement
CUST_0132,285,9,0,9,1.0,454,0.6,0.6,normal
CUST_0133,442,13,1,14,0.9286,2689,0.8,0.85,reliable
CUST_0134,253,7,1,8,0.875,9457,0.82,0.9,high_value_loyal
CUST_0135,945,25,6,31,0.8065,663,0.35,0.45,friction_prone
CUST_0136,726,20,4,24,0.8333,966,0.3,0.25,low_engagement
CUST_0137,971,28,4,32,0.875,1381,0.6,0.6,normal
CUST_0138,399,12,1,13,0.9231,747,0.8,0.85,reliable
CUST_0139,548,17,1,18,0.9444,5540,0.82,0.9,high_value_loyal
CUST_0140,777,24,1,25,0.96,6517,0.82,0.9,high_value_loyal
CUST_0141,566,15,3,18,0.8333,1166,0.35,0.45,friction_prone
CUST_0142,422,8,6,14,0.5714,307,0.35,0.45,friction_prone
CUST_0143,258,6,2,8,0.75,1432,0.6,0.6,normal
CUST_0144,38,1,0,1,1.0,5388,0.82,0.9,high_value_loyal
CUST_0145,833,21,6,27,0.7778,928,0.3,0.25,low_engagement
CUST_0146,125,3,1,4,0.75,962,0.35,0.45,friction_prone
CUST_0147,795,24,2,26,0.9231,4700,0.82,0.9,high_value_loyal
CUST_0148,345,11,0,11,1.0,5914,0.82,0.9,high_value_loyal
CUST_0149,555,17,1,18,0.9444,8281,0.82,0.9,high_value_loyal
CUST_0150,626,19,1,20,0.95,1266,0.8,0.85,reliable
CUST_0151,316,9,1,10,0.9,1058,0.35,0.45,friction_prone
CUST_0152,688,17,5,22,0.7727,776,0.6,0.6,normal
CUST_0153,132,4,0,4,1.0,1809,0.6,0.6,normal
CUST_0154,812,25,2,27,0.9259,502,0.8,0.85,reliable
CUST_0155,969,22,10,32,0.6875,974,0.35,0.45,friction_prone
CUST_0156,781,13,13,26,0.5,743,0.35,0.45,friction_prone
CUST_0157,285,9,0,9,1.0,1075,0.6,0.6,normal
CUST_0158,589,12,7,19,0.6316,1456,0.35,0.45,friction_prone
CUST_0159,751,24,1,25,0.96,4399,0.82,0.9,high_value_loyal
CUST_0160,113,2,1,3,0.6667,1164,0.35,0.45,friction_prone
CUST_0161,946,30,1,31,0.9677,7113,0.82,0.9,high_value_loyal
CUST_0162,952,23,8,31,0.7419,353,0.3,0.25,low_engagement
CUST_0163,610,17,3,20,0.85,978,0.6,0.6,normal
CUST_0164,80,1,1,2,0.5,1062,0.6,0.6,normal
CUST_0165,375,11,1,12,0.9167,2207,0.8,0.85,reliable
CUST_0166,691,19,4,23,0.8261,577,0.3,0.25,low_engagement
CUST_0167,547,17,1,18,0.9444,4755,0.82,0.9,high_value_loyal
CUST_0168,692,18,5,23,0.7826,1577,0.6,0.6,normal
CUST_0169,628,19,1,20,0.95,9598,0.82,0.9,high_value_loyal
CUST_0170,443,13,1,14,0.9286,747,0.3,0.25,low_engagement
CUST_0171,958,29,2,31,0.9355,8576,0.82,0.9,high_value_loyal
CUST_0172,572,19,0,19,1.0,4381,0.82,0.9,high_value_loyal
CUST_0173,812,22,5,27,0.8148,666,0.3,0.25,low_engagement
CUST_0174,640,16,5,21,0.7619,989,0.3,0.25,low_engagement
CUST_0175,668,20,2,22,0.9091,320,0.3,0.25,low_engagement
CUST_0176,146,2,2,4,0.5,1271,0.35,0.45,friction_prone
CUST_0177,396,11,2,13,0.8462,484,0.6,0.6,normal
CUST_0178,106,3,0,3,1.0,436,0.3,0.25,low_engagement
CUST_0179,333,11,0,11,1.0,3079,0.82,0.9,high_value_loyal
CUST_0180,709,18,5,23,0.7826,1288,0.6,0.6,normal
CUST_0181,724,17,7,24,0.7083,833,0.3,0.25,low_engagement
CUST_0182,473,14,1,15,0.9333,2513,0.8,0.85,reliable
CUST_0183,276,8,1,9,0.8889,380,0.35,0.45,friction_prone
CUST_0184,487,14,2,16,0.875,9760,0.82,0.9,high_value_loyal
CUST_0185,866,27,1,28,0.9643,1884,0.8,0.85,reliable
CUST_0186,805,25,1,26,0.9615,2994,0.8,0.85,reliable
CUST_0187,310,9,1,10,0.9,942,0.6,0.6,normal
CUST_0188,677,17,5,22,0.7727,213,0.3,0.25,low_engagement
CUST_0189,139,4,0,4,1.0,968,0.3,0.25,low_engagement
CUST_0190,323,10,0,10,1.0,1450,0.6,0.6,normal
CUST_0191,790,23,3,26,0.8846,696,0.6,0.6,normal
CUST_0192,489,15,1,16,0.9375,304,0.35,0.45,friction_prone
CUST_0193,893,24,5,29,0.8276,1181,0.3,0.25,low_engagement
CUST_0194,728,23,1,24,0.9583,2237,0.8,0.85,reliable
CUST_0195,240,7,1,8,0.875,2380,0.8,0.85,reliable
CUST_0196,68,2,0,2,1.0,715,0.35,0.45,friction_prone
CUST_0197,102,3,0,3,1.0,597,0.3,0.25,low_engagement
CUST_0198,675,22,0,22,1.0,9117,0.82,0.9,high_value_loyal
CUST_0199,845,25,3,28,0.8929,4485,0.82,0.9,high_value_loyal
CUST_0200,902,25,5,30,0.8333,483,0.3,0.25,low_engagement
CUST_0201,167,4,1,5,0.8,1197,0.35,0.45,friction_prone
CUST_0202,141,2,2,4,0.5,343,0.3,0.25,low_engagement
CUST_0203,231,6,1,7,0.8571,795,0.3,0.25,low_engagement
CUST_0204,444,11,3,14,0.7857,292,0.3,0.25,low_engagement
CUST_0205,402,11,2,13,0.8462,6960,0.82,0.9,high_value_loyal
CUST_0206,71,2,0,2,1.0,328,0.35,0.45,friction_prone
CUST_0207,408,9,4,13,0.6923,739,0.35,0.45,friction_prone
CUST_0208,587,13,6,19,0.6842,487,0.3,0.25,low_engagement
CUST_0209,183,6,0,6,1.0,1775,0.6,0.6,normal
CUST_0210,523,16,1,17,0.9412,576,0.8,0.85,reliable
CUST_0211,999,25,8,33,0.7576,1435,0.35,0.45,friction_prone
CUST_0212,877,22,7,29,0.7586,584,0.3,0.25,low_engagement
CUST_0213,734,21,3,24,0.875,770,0.6,0.6,normal
CUST_0214,831,24,3,27,0.8889,8245,0.82,0.9,high_value_loyal
CUST_0215,479,13,2,15,0.8667,6272,0.82,0.9,high_value_loyal
CUST_0216,715,16,7,23,0.6957,727,0.35,0.45,friction_prone
CUST_0217,862,23,5,28,0.8214,382,0.3,0.25,low_engagement
CUST_0218,351,10,1,11,0.9091,4661,0.82,0.9,high_value_loyal
CUST_0219,886,23,6,29,0.7931,657,0.6,0.6,normal
CUST_0220,153,5,0,5,1.0,7759,0.82,0.9,high_value_loyal
CUST_0221,363,11,1,12,0.9167,2140,0.8,0.85,reliable
CUST_0222,491,13,3,16,0.8125,1491,0.35,0.45,friction_prone
CUST_0223,576,16,3,19,0.8421,1088,0.3,0.25,low_engagement
CUST_0224,233,6,1,7,0.8571,993,0.3,0.25,low_engagement
CUST_0225,940,29,2,31,0.9355,4725,0.82,0.9,high_value_loyal
CUST_0226,436,12,2,14,0.8571,881,0.6,0.6,normal
CUST_0227,671,20,2,22,0.9091,6945,0.82,0.9,high_value_loyal
CUST_0228,262,5,3,8,0.625,552,0.3,0.25,low_engagement
CUST_0229,510,10,7,17,0.5882,651,0.35,0.45,friction_prone
CUST_0230,111,2,1,3,0.6667,1455,0.35,0.45,friction_prone
CUST_0231,321,9,1,10,0.9,1207,0.35,0.45,friction_prone
CUST_0232,358,11,0,11,1.0,1000,0.6,0.6,normal
CUST_0233,349,11,0,11,1.0,4487,0.82,0.9,high_value_loyal
CUST_0234,947,27,4,31,0.871,642,0.6,0.6,normal
CUST_0235,628,14,6,20,0.7,676,0.35,0.45,friction_prone
CUST_0236,601,13,7,20,0.65,1335,0.35,0.45,friction_prone
CUST_0237,100,3,0,3,1.0,1409,0.6,0.6,normal
CUST_0238,494,13,3,16,0.8125,860,0.35,0.45,friction_prone
CUST_0239,686,21,1,22,0.9545,9816,0.82,0.9,high_value_loyal
CUST_0240,509,15,1,16,0.9375,2677,0.8,0.85,reliable
CUST_0241,224,6,1,7,0.8571,9277,0.82,0.9,high_value_loyal
CUST_0242,396,10,3,13,0.7692,532,0.3,0.25,low_engagement
CUST_0243,452,8,7,15,0.5333,1260,0.35,0.45,friction_prone
CUST_0244,941,27,4,31,0.871,915,0.6,0.6,normal
CUST_0245,778,23,2,25,0.92,2937,0.8,0.85,reliable
CUST_0246,546,17,1,18,0.9444,953,0.3,0.25,low_engagement
CUST_0247,282,9,0,9,1.0,552,0.3,0.25,low_engagement
CUST_0248,701,15,8,23,0.6522,223,0.3,0.25,low_engagement
CUST_0249,244,5,3,8,0.625,237,0.35,0.45,friction_prone
CUST_0250,626,18,2,20,0.9,8813,0.82,0.9,high_value_loyal
CUST_0251,955,30,1,31,0.9677,2065,0.8,0.85,reliable
CUST_0252,724,16,8,24,0.6667,770,0.3,0.25,low_engagement
CUST_0253,766,20,5,25,0.8,688,0.3,0.25,low_engagement
CUST_0254,544,14,4,18,0.7778,1199,0.6,0.6,normal
CUST_0255,531,13,4,17,0.7647,1098,0.3,0.25,low_engagement
CUST_0256,928,29,1,30,0.9667,1327,0.8,0.85,reliable
CUST_0257,122,4,0,4,1.0,8884,0.82,0.9,high_value_loyal
CUST_0258,123,4,0,4,1.0,2073,0.8,0.85,reliable
CUST_0259,656,18,3,21,0.8571,669,0.3,0.25,low_engagement
CUST_0260,905,29,1,30,0.9667,7688,0.82,0.9,high_value_loyal
CUST_0261,211,5,2,7,0.7143,1039,0.3,0.25,low_engagement
CUST_0262,806,23,3,26,0.8846,2628,0.8,0.85,reliable
CUST_0263,534,17,0,17,1.0,8652,0.82,0.9,high_value_loyal
CUST_0264,290,7,2,9,0.7778,259,0.35,0.45,friction_prone
CUST_0265,228,6,1,7,0.8571,1584,0.6,0.6,normal
CUST_0266,943,31,0,31,1.0,4946,0.82,0.9,high_value_loyal
CUST_0267,492,12,4,16,0.75,870,0.35,0.45,friction_prone
CUST_0268,817,23,4,27,0.8519,540,0.6,0.6,normal
CUST_0269,182,5,1,6,0.8333,1325,0.35,0.45,friction_prone
CUST_0270,307,9,1,10,0.9,303,0.35,0.45,friction_prone
CUST_0271,422,13,1,14,0.9286,2407,0.8,0.85,reliable
CUST_0272,164,4,1,5,0.8,859,0.3,0.25,low_engagement
CUST_0273,511,17,0,17,1.0,7951,0.82,0.9,high_value_loyal
CUST_0274,160,5,0,5,1.0,272,0.3,0.25,low_engagement
CUST_0275,575,15,4,19,0.7895,434,0.35,0.45,friction_prone
CUST_0276,640,15,6,21,0.7143,599,0.3,0.25,low_engagement
CUST_0277,621,10,10,20,0.5,773,0.3,0.25,low_engagement
CUST_0278,142,1,3,4,0.25,1007,0.35,0.45,friction_prone
CUST_0279,758,19,6,25,0.76,1071,0.35,0.45,friction_prone
CUST_0280,214,6,1,7,0.8571,710,0.3,0.25,low_engagement
CUST_0281,759,20,5,25,0.8,939,0.6,0.6,normal
CUST_0282,84,1,1,2,0.5,211,0.3,0.25,low_engagement
CUST_0283,494,15,1,16,0.9375,5390,0.82,0.9,high_value_loyal
CUST_0284,57,1,0,1,1.0,284,0.3,0.25,low_engagement
CUST_0285,547,17,1,18,0.9444,472,0.6,0.6,normal
CUST_0286,639,19,2,21,0.9048,1745,0.6,0.6,normal
CUST_0287,515,16,1,17,0.9412,9572,0.82,0.9,high_value_loyal
CUST_0288,291,9,0,9,1.0,1236,0.8,0.85,reliable
CUST_0289,590,16,3,19,0.8421,1438,0.35,0.45,friction_prone
CUST_0290,414,8,5,13,0.6154,1667,0.6,0.6,normal
CUST_0291,293,7,2,9,0.7778,1207,0.35,0.45,friction_prone
CUST_0292,654,21,0,21,1.0,1101,0.6,0.6,normal
CUST_0293,33,1,0,1,1.0,1162,0.3,0.25,low_engagement
CUST_0294,519,14,3,17,0.8235,7379,0.82,0.9,high_value_loyal
CUST_0295,112,1,2,3,0.3333,615,0.35,0.45,friction_prone
CUST_0296,597,18,1,19,0.9474,1962,0.6,0.6,normal
CUST_0297,46,1,0,1,1.0,3459,0.82,0.9,high_value_loyal
CUST_0298,836,17,10,27,0.6296,433,0.35,0.45,friction_prone
CUST_0299,639,19,2,21,0.9048,6593,0.82,0.9,high_value_loyal
CUST_0300,977,30,2,32,0.9375,1385,0.6,0.6,normal
CUST_0301,663,21,1,22,0.9545,714,0.8,0.85,reliable
CUST_0302,210,7,0,7,1.0,629,0.3,0.25,low_engagement
CUST_0303,795,21,5,26,0.8077,1239,0.6,0.6,normal
CUST_0304,205,5,1,6,0.8333,4392,0.82,0.9,high_value_loyal
CUST_0305,596,13,6,19,0.6842,241,0.3,0.25,low_engagement
CUST_0306,781,25,1,26,0.9615,9470,0.82,0.9,high_value_loyal
CUST_0307,671,13,9,22,0.5909,1467,0.35,0.45,friction_prone
CUST_0308,404,13,0,13,1.0,1423,0.8,0.85,reliable
CUST_0309,391,9,4,13,0.6923,953,0.35,0.45,friction_prone
CUST_0310,222,6,1,7,0.8571,1630,0.8,0.85,reliable
CUST_0311,743,23,1,24,0.9583,2746,0.8,0.85,reliable
CUST_0312,498,14,2,16,0.875,9875,0.82,0.9,high_value_loyal
CUST_0313,195,6,0,6,1.0,1451,0.6,0.6,normal
CUST_0314,711,21,2,23,0.913,2815,0.8,0.85,reliable
CUST_0315,376,12,0,12,1.0,7779,0.82,0.9,high_value_loyal
CUST_0316,257,4,4,8,0.5,603,0.3,0.25,low_engagement
CUST_0317,532,11,6,17,0.6471,1945,0.6,0.6,normal
CUST_0318,325,9,1,10,0.9,7303,0.82,0.9,high_value_loyal
CUST_0319,97,2,1,3,0.6667,213,0.35,0.45,friction_prone
CUST_0320,684,21,1,22,0.9545,5356,0.82,0.9,high_value_loyal
CUST_0321,213,6,1,7,0.8571,9107,0.82,0.9,high_value_loyal
CUST_0322,625,16,4,20,0.8,797,0.35,0.45,friction_prone
CUST_0323,684,17,5,22,0.7727,304,0.3,0.25,low_engagement
CUST_0324,188,5,1,6,0.8333,1389,0.6,0.6,normal
CUST_0325,749,18,6,24,0.75,907,0.3,0.25,low_engagement
CUST_0326,109,3,0,3,1.0,1304,0.8,0.85,reliable
CUST_0327,63,2,0,2,1.0,742,0.8,0.85,reliable
CUST_0328,151,5,0,5,1.0,4014,0.82,0.9,high_value_loyal
CUST_0329,240,8,0,8,1.0,560,0.3,0.25,low_engagement
CUST_0330,905,26,4,30,0.8667,578,0.6,0.6,normal
CUST_0331,810,25,2,27,0.9259,8693,0.82,0.9,high_value_loyal
CUST_0332,134,3,1,4,0.75,403,0.3,0.25,low_engagement
CUST_0333,235,3,4,7,0.4286,1391,0.35,0.45,friction_prone
CUST_0334,309,6,4,10,0.6,325,0.3,0.25,low_engagement
CUST_0335,531,13,4,17,0.7647,613,0.35,0.45,friction_prone
CUST_0336,707,15,8,23,0.6522,1365,0.35,0.45,friction_prone
CUST_0337,705,22,1,23,0.9565,6374,0.82,0.9,high_value_loyal
CUST_0338,87,2,0,2,1.0,839,0.35,0.45,friction_prone
CUST_0339,116,2,1,3,0.6667,545,0.3,0.25,low_engagement
CUST_0340,50,1,0,1,1.0,376,0.6,0.6,normal
CUST_0341,703,22,1,23,0.9565,9884,0.82,0.9,high_value_loyal
CUST_0342,249,6,2,8,0.75,297,0.3,0.25,low_engagement
CUST_0343,374,11,1,12,0.9167,457,0.3,0.25,low_engagement
CUST_0344,557,15,3,18,0.8333,734,0.3,0.25,low_engagement
CUST_0345,403,11,2,13,0.8462,1706,0.6,0.6,normal
CUST_0346,271,8,1,9,0.8889,237,0.3,0.25,low_engagement
CUST_0347,193,6,0,6,1.0,386,0.6,0.6,normal
CUST_0348,831,23,4,27,0.8519,6194,0.82,0.9,high_value_loyal
CUST_0349,987,24,8,32,0.75,1963,0.6,0.6,normal
CUST_0350,577,18,1,19,0.9474,2513,0.8,0.85,reliable
CUST_0351,784,25,1,26,0.9615,9804,0.82,0.9,high_value_loyal
CUST_0352,897,26,3,29,0.8966,1053,0.6,0.6,normal
CUST_0353,999,28,5,33,0.8485,1114,0.6,0.6,normal
CUST_0354,760,22,3,25,0.88,994,0.6,0.6,normal
CUST_0355,165,5,0,5,1.0,4047,0.82,0.9,high_value_loyal
CUST_0356,922,27,3,30,0.9,6749,0.82,0.9,high_value_loyal
CUST_0357,145,4,0,4,1.0,5327,0.82,0.9,high_value_loyal
CUST_0358,884,24,5,29,0.8276,389,0.6,0.6,normal
CUST_0359,493,13,3,16,0.8125,1086,0.3,0.25,low_engagement
CUST_0360,121,4,0,4,1.0,8301,0.82,0.9,high_value_loyal
CUST_0361,153,3,2,5,0.6,1535,0.6,0.6,normal
CUST_0362,397,12,1,13,0.9231,382,0.6,0.6,normal
CUST_0363,379,9,3,12,0.75,330,0.3,0.25,low_engagement
CUST_0364,891,17,12,29,0.5862,583,0.35,0.45,friction_prone
CUST_0365,219,6,1,7,0.8571,327,0.6,0.6,normal
CUST_0366,701,18,5,23,0.7826,1582,0.6,0.6,normal
CUST_0367,225,6,1,7,0.8571,655,0.3,0.25,low_engagement
CUST_0368,512,16,1,17,0.9412,7205,0.82,0.9,high_value_loyal
CUST_0369,772,21,4,25,0.84,1062,0.3,0.25,low_engagement
CUST_0370,164,4,1,5,0.8,8345,0.82,0.9,high_value_loyal
CUST_0371,845,22,6,28,0.7857,896,0.35,0.45,friction_prone
CUST_0372,817,18,9,27,0.6667,403,0.35,0.45,friction_prone
CUST_0373,692,20,3,23,0.8696,1357,0.6,0.6,normal
CUST_0374,996,23,10,33,0.697,1314,0.35,0.45,friction_prone
CUST_0375,837,22,5,27,0.8148,949,0.3,0.25,low_engagement
CUST_0376,891,27,2,29,0.931,901,0.8,0.85,reliable
CUST_0377,758,21,4,25,0.84,1383,0.6,0.6,normal
CUST_0378,741,22,2,24,0.9167,2502,0.8,0.85,reliable
CUST_0379,155,5,0,5,1.0,2352,0.8,0.85,reliable
CUST_0380,830,21,6,27,0.7778,1345,0.35,0.45,friction_prone
CUST_0381,227,5,2,7,0.7143,576,0.8,0.85,reliable
CUST_0382,704,23,0,23,1.0,1546,0.8,0.85,reliable
CUST_0383,187,6,0,6,1.0,739,0.8,0.85,reliable
CUST_0384,429,10,4,14,0.7143,851,0.35,0.45,friction_prone
CUST_0385,596,16,3,19,0.8421,9406,0.82,0.9,high_value_loyal
CUST_0386,580,14,5,19,0.7368,630,0.6,0.6,normal
CUST_0387,606,12,8,20,0.6,536,0.3,0.25,low_engagement
