failure_id,payment_id,customer_id,subscription_id,failure_reason,retry_now_probability,wait_and_retry_probability,send_reminder_probability,payment_link_probability,update_payment_method_probability,no_action_probability
FAIL_000048,PAY_000262,CUST_0021,SUB_0021,BANK_DECLINED,0.2176,0.5176,0.3156,0.4956,0.2956,0.0
FAIL_000049,PAY_000265,CUST_0021,SUB_0021,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000050,PAY_000266,CUST_0022,SUB_0022,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000051,PAY_000268,CUST_0022,SUB_0022,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000052,PAY_000269,CUST_0022,SUB_0022,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000053,PAY_000271,CUST_0022,SUB_0022,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000054,PAY_000273,CUST_0022,SUB_0022,LIMIT_EXCEEDED,0.1,0.25,0.212,0.562,0.362,0.0
FAIL_000055,PAY_000274,CUST_0022,SUB_0022,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000056,PAY_000281,CUST_0022,SUB_0022,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000057,PAY_000283,CUST_0022,SUB_0022,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000058,PAY_000286,CUST_0022,SUB_0022,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000059,PAY_000287,CUST_0022,SUB_0022,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000060,PAY_000300,CUST_0023,SUB_0023,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000061,PAY_000301,CUST_0023,SUB_0023,LIMIT_EXCEEDED,0.1,0.25,0.212,0.562,0.362,0.0
FAIL_000062,PAY_000303,CUST_0023,SUB_0023,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000063,PAY_000308,CUST_0023,SUB_0023,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000064,PAY_000309,CUST_0023,SUB_0023,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000065,PAY_000310,CUST_0023,SUB_0023,CARD_EXPIRED,0.05,0.05,0.212,0.362,0.812,0.0
FAIL_000066,PAY_000311,CUST_0023,SUB_0023,CARD_EXPIRED,0.05,0.05,0.212,0.362,0.812,0.0
FAIL_000067,PAY_000316,CUST_0023,SUB_0023,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000068,PAY_000318,CUST_0024,SUB_0024,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000069,PAY_000320,CUST_0025,SUB_0025,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000070,PAY_000321,CUST_0025,SUB_0025,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000071,PAY_000322,CUST_0025,SUB_0025,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000072,PAY_000323,CUST_0025,SUB_0025,LIMIT_EXCEEDED,0.1,0.25,0.212,0.562,0.362,0.0
FAIL_000073,PAY_000324,CUST_0025,SUB_0025,AUTHENTICATION_FAILED,0.05,0.1,0.362,0.462,0.662,0.0
FAIL_000074,PAY_000328,CUST_0025,SUB_0025,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000075,PAY_000329,CUST_0025,SUB_0025,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000076,PAY_000330,CUST_0025,SUB_0025,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000077,PAY_000331,CUST_0025,SUB_0025,AUTHENTICATION_FAILED,0.05,0.1,0.362,0.462,0.662,0.0
FAIL_000078,PAY_000347,CUST_0026,SUB_0026,BANK_DECLINED,0.2176,0.5176,0.3156,0.4956,0.2956,0.0
FAIL_000079,PAY_000351,CUST_0026,SUB_0026,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000080,PAY_000353,CUST_0026,SUB_0026,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000081,PAY_000355,CUST_0026,SUB_0026,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000082,PAY_000370,CUST_0029,SUB_0029,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000083,PAY_000389,CUST_0029,SUB_0029,NETWORK_ERROR,0.896,0.746,0.308,0.358,0.158,0.0
FAIL_000084,PAY_000391,CUST_0029,SUB_0029,AUTHENTICATION_FAILED,0.096,0.146,0.408,0.508,0.708,0.0
FAIL_000085,PAY_000404,CUST_0030,SUB_0030,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000086,PAY_000442,CUST_0031,SUB_0031,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000087,PAY_000444,CUST_0032,SUB_0032,LIMIT_EXCEEDED,0.1176,0.2676,0.2656,0.6456,0.4456,0.0
FAIL_000088,PAY_000486,CUST_0034,SUB_0034,NETWORK_ERROR,0.896,0.746,0.308,0.358,0.158,0.0
FAIL_000089,PAY_000521,CUST_0036,SUB_0036,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000090,PAY_000523,CUST_0036,SUB_0036,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000091,PAY_000524,CUST_0036,SUB_0036,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000092,PAY_000525,CUST_0036,SUB_0036,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000093,PAY_000526,CUST_0036,SUB_0036,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000094,PAY_000527,CUST_0036,SUB_0036,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000095,PAY_000542,CUST_0037,SUB_0037,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000096,PAY_000547,CUST_0037,SUB_0037,BANK_DECLINED,0.2176,0.5176,0.3156,0.4956,0.2956,0.0
FAIL_000097,PAY_000558,CUST_0037,SUB_0037,LIMIT_EXCEEDED,0.1176,0.2676,0.2656,0.6456,0.4456,0.0
FAIL_000098,PAY_000559,CUST_0038,SUB_0038,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000099,PAY_000565,CUST_0038,SUB_0038,LIMIT_EXCEEDED,0.1,0.25,0.212,0.562,0.362,0.0
FAIL_000100,PAY_000566,CUST_0038,SUB_0038,AUTHENTICATION_FAILED,0.05,0.1,0.362,0.462,0.662,0.0
FAIL_000101,PAY_000568,CUST_0038,SUB_0038,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000102,PAY_000574,CUST_0039,SUB_0039,CARD_EXPIRED,0.0676,0.0676,0.2656,0.4456,0.8956,0.0
FAIL_000103,PAY_000585,CUST_0039,SUB_0039,CARD_EXPIRED,0.0676,0.0676,0.2656,0.4456,0.8956,0.0
FAIL_000104,PAY_000631,CUST_0042,SUB_0042,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000105,PAY_000641,CUST_0042,SUB_0042,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000106,PAY_000653,CUST_0042,SUB_0042,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000107,PAY_000663,CUST_0044,SUB_0044,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000108,PAY_000673,CUST_0044,SUB_0044,BANK_DECLINED,0.246,0.546,0.308,0.458,0.258,0.0
FAIL_000109,PAY_000678,CUST_0044,SUB_0044,BANK_DECLINED,0.246,0.546,0.308,0.458,0.258,0.0
FAIL_000110,PAY_000694,CUST_0045,SUB_0045,LIMIT_EXCEEDED,0.1,0.25,0.212,0.562,0.362,0.0
FAIL_000111,PAY_000698,CUST_0045,SUB_0045,AUTHENTICATION_FAILED,0.05,0.1,0.362,0.462,0.662,0.0
FAIL_000112,PAY_000702,CUST_0045,SUB_0045,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000113,PAY_000707,CUST_0046,SUB_0046,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000114,PAY_000713,CUST_0046,SUB_0046,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000115,PAY_000722,CUST_0046,SUB_0046,AUTHENTICATION_FAILED,0.01,0.04,0.324,0.424,0.624,0.0
FAIL_000116,PAY_000723,CUST_0046,SUB_0046,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000117,PAY_000725,CUST_0046,SUB_0046,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000118,PAY_000726,CUST_0046,SUB_0046,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000119,PAY_000730,CUST_0046,SUB_0046,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000120,PAY_000733,CUST_0047,SUB_0047,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000121,PAY_000742,CUST_0047,SUB_0047,CARD_EXPIRED,0.05,0.05,0.212,0.362,0.812,0.0
FAIL_000122,PAY_000746,CUST_0047,SUB_0047,BANK_DECLINED,0.2,0.5,0.262,0.412,0.212,0.0
FAIL_000123,PAY_000747,CUST_0047,SUB_0047,CARD_EXPIRED,0.05,0.05,0.212,0.362,0.812,0.0
FAIL_000124,PAY_000752,CUST_0048,SUB_0048,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000125,PAY_000755,CUST_0048,SUB_0048,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000126,PAY_000777,CUST_0050,SUB_0050,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000127,PAY_000778,CUST_0050,SUB_0050,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000128,PAY_000786,CUST_0051,SUB_0051,AUTHENTICATION_FAILED,0.01,0.04,0.324,0.424,0.624,0.0
FAIL_000129,PAY_000787,CUST_0051,SUB_0051,AUTHENTICATION_FAILED,0.01,0.04,0.324,0.424,0.624,0.0
FAIL_000130,PAY_000791,CUST_0051,SUB_0051,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000131,PAY_000793,CUST_0051,SUB_0051,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000132,PAY_000794,CUST_0051,SUB_0051,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000133,PAY_000796,CUST_0051,SUB_0051,AUTHENTICATION_FAILED,0.01,0.04,0.324,0.424,0.624,0.0
FAIL_000134,PAY_000798,CUST_0051,SUB_0051,LIMIT_EXCEEDED,0.04,0.19,0.174,0.524,0.324,0.0
FAIL_000135,PAY_000800,CUST_0051,SUB_0051,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000136,PAY_000803,CUST_0051,SUB_0051,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000137,PAY_000804,CUST_0051,SUB_0051,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000138,PAY_000825,CUST_0052,SUB_0052,CARD_EXPIRED,0.05,0.05,0.212,0.362,0.812,0.0
FAIL_000139,PAY_000828,CUST_0053,SUB_0053,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000140,PAY_000829,CUST_0053,SUB_0053,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000141,PAY_000830,CUST_0053,SUB_0053,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000142,PAY_000831,CUST_0053,SUB_0053,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000143,PAY_000833,CUST_0053,SUB_0053,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000144,PAY_000834,CUST_0053,SUB_0053,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000145,PAY_000835,CUST_0053,SUB_0053,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000146,PAY_000837,CUST_0053,SUB_0053,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000147,PAY_000839,CUST_0053,SUB_0053,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000148,PAY_000840,CUST_0053,SUB_0053,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000149,PAY_000842,CUST_0053,SUB_0053,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000150,PAY_000843,CUST_0053,SUB_0053,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000151,PAY_000844,CUST_0053,SUB_0053,LIMIT_EXCEEDED,0.076,0.226,0.096,0.446,0.246,0.0
FAIL_000152,PAY_000856,CUST_0055,SUB_0055,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000153,PAY_000864,CUST_0056,SUB_0056,BANK_DECLINED,0.2176,0.5176,0.3156,0.4956,0.2956,0.0
FAIL_000154,PAY_000878,CUST_0056,SUB_0056,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000155,PAY_000885,CUST_0056,SUB_0056,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000156,PAY_000894,CUST_0057,SUB_0057,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000157,PAY_000901,CUST_0058,SUB_0058,BANK_DECLINED,0.246,0.546,0.308,0.458,0.258,0.0
FAIL_000158,PAY_000903,CUST_0058,SUB_0058,NETWORK_ERROR,0.896,0.746,0.308,0.358,0.158,0.0
FAIL_000159,PAY_000912,CUST_0058,SUB_0058,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000160,PAY_000936,CUST_0059,SUB_0059,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000161,PAY_000952,CUST_0060,SUB_0060,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000162,PAY_000978,CUST_0062,SUB_0062,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000163,PAY_000982,CUST_0062,SUB_0062,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000164,PAY_000987,CUST_0063,SUB_0063,AUTHENTICATION_FAILED,0.05,0.1,0.362,0.462,0.662,0.0
FAIL_000165,PAY_000995,CUST_0063,SUB_0063,AUTHENTICATION_FAILED,0.05,0.1,0.362,0.462,0.662,0.0
FAIL_000166,PAY_000999,CUST_0063,SUB_0063,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000167,PAY_001004,CUST_0063,SUB_0063,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000168,PAY_001023,CUST_0064,SUB_0064,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000169,PAY_001026,CUST_0064,SUB_0064,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000170,PAY_001028,CUST_0064,SUB_0064,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000171,PAY_001033,CUST_0066,SUB_0066,AUTHENTICATION_FAILED,0.01,0.04,0.324,0.424,0.624,0.0
FAIL_000172,PAY_001070,CUST_0070,SUB_0070,NETWORK_ERROR,0.8676,0.7176,0.3156,0.3956,0.1956,0.0
FAIL_000173,PAY_001091,CUST_0072,SUB_0072,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000174,PAY_001096,CUST_0073,SUB_0073,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000175,PAY_001097,CUST_0073,SUB_0073,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000176,PAY_001104,CUST_0073,SUB_0073,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000177,PAY_001105,CUST_0073,SUB_0073,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000178,PAY_001106,CUST_0073,SUB_0073,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000179,PAY_001107,CUST_0073,SUB_0073,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000180,PAY_001108,CUST_0073,SUB_0073,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000181,PAY_001113,CUST_0074,SUB_0074,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000182,PAY_001116,CUST_0074,SUB_0074,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000183,PAY_001117,CUST_0074,SUB_0074,LIMIT_EXCEEDED,0.076,0.226,0.096,0.446,0.246,0.0
FAIL_000184,PAY_001121,CUST_0076,SUB_0076,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000185,PAY_001122,CUST_0076,SUB_0076,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000186,PAY_001127,CUST_0076,SUB_0076,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000187,PAY_001135,CUST_0076,SUB_0076,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000188,PAY_001187,CUST_0079,SUB_0079,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000189,PAY_001199,CUST_0079,SUB_0079,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000190,PAY_001255,CUST_0082,SUB_0082,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000191,PAY_001264,CUST_0082,SUB_0082,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000192,PAY_001266,CUST_0083,SUB_0083,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000193,PAY_001279,CUST_0083,SUB_0083,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000194,PAY_001283,CUST_0083,SUB_0083,AUTHENTICATION_FAILED,0.01,0.04,0.324,0.424,0.624,0.0
FAIL_000195,PAY_001285,CUST_0083,SUB_0083,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000196,PAY_001286,CUST_0083,SUB_0083,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000197,PAY_001287,CUST_0083,SUB_0083,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000198,PAY_001288,CUST_0083,SUB_0083,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000199,PAY_001313,CUST_0085,SUB_0085,LIMIT_EXCEEDED,0.1176,0.2676,0.2656,0.6456,0.4456,0.0
FAIL_000200,PAY_001347,CUST_0088,SUB_0088,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000201,PAY_001348,CUST_0089,SUB_0089,LIMIT_EXCEEDED,0.1176,0.2676,0.2656,0.6456,0.4456,0.0
FAIL_000202,PAY_001353,CUST_0089,SUB_0089,LIMIT_EXCEEDED,0.1176,0.2676,0.2656,0.6456,0.4456,0.0
FAIL_000203,PAY_001407,CUST_0091,SUB_0091,AUTHENTICATION_FAILED,0.0676,0.1176,0.4156,0.5456,0.7456,0.0
FAIL_000204,PAY_001419,CUST_0093,SUB_0093,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
FAIL_000205,PAY_001423,CUST_0093,SUB_0093,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000206,PAY_001428,CUST_0093,SUB_0093,INSUFFICIENT_FUNDS,0.176,0.576,0.246,0.346,0.046,0.0
