failure_id,amount,recoveryos_action,recoveryos_true_probability,recoveryos_actual_revenue,recoveryos_cost,recoveryos_net_revenue,rules_action,rules_true_probability,rules_actual_revenue,rules_cost,rules_net_revenue,oracle_action,oracle_true_probability,oracle_actual_revenue,oracle_cost,oracle_net_revenue,recoveryos_vs_rules_net,recoveryos_vs_oracle_net,oracle_opportunity_loss
FAIL_001555,11684.35,WAIT_AND_RETRY,0.938809,11684.35,2.0,11682.35,WAIT_AND_RETRY,0.938809,11684.35,2.0,11682.35,PAYMENT_LINK,0.95,11684.35,3.0,11681.35,0.0,1.0,-1.0
FAIL_001557,11684.35,WAIT_AND_RETRY,0.95,11684.35,2.0,11682.35,WAIT_AND_RETRY,0.95,11684.35,2.0,11682.35,WAIT_AND_RETRY,0.95,11684.35,2.0,11682.35,0.0,0.0,0.0
FAIL_001530,12778.74,PAYMENT_LINK,0.943808,12778.74,3.0,12775.74,PAYMENT_LINK,0.943808,12778.74,3.0,12775.74,PAYMENT_LINK,0.943808,12778.74,3.0,12775.74,0.0,0.0,0.0
FAIL_000837,10125.65,RETRY_NOW,0.95,10125.65,2.0,10123.65,RETRY_NOW,0.95,10125.65,2.0,10123.65,RETRY_NOW,0.95,10125.65,2.0,10123.65,0.0,0.0,0.0
FAIL_000242,10145.96,RETRY_NOW,0.95,0.0,2.0,-2.0,RETRY_NOW,0.95,0.0,2.0,-2.0,RETRY_NOW,0.95,0.0,2.0,-2.0,0.0,0.0,0.0
FAIL_002695,10771.74,WAIT_AND_RETRY,0.94335,10771.74,2.0,10769.74,PAYMENT_LINK,0.95,10771.74,3.0,10768.74,PAYMENT_LINK,0.95,10771.74,3.0,10768.74,1.0,1.0,-1.0
FAIL_000575,9730.73,PAYMENT_LINK,0.95,9730.73,3.0,9727.73,WAIT_AND_RETRY,0.935687,9730.73,2.0,9728.73,SEND_REMINDER,0.95,9730.73,1.0,9729.73,-1.0,-2.0,2.0
FAIL_001272,8583.5,WAIT_AND_RETRY,0.95,8583.5,2.0,8581.5,RETRY_NOW,0.95,8583.5,2.0,8581.5,RETRY_NOW,0.95,8583.5,2.0,8581.5,0.0,0.0,0.0
FAIL_002339,9301.15,UPDATE_PAYMENT_METHOD,0.95,9301.15,3.0,9298.15,UPDATE_PAYMENT_METHOD,0.95,9301.15,3.0,9298.15,SEND_REMINDER,0.95,9301.15,1.0,9300.15,0.0,-2.0,2.0
FAIL_000087,10611.56,UPDATE_PAYMENT_METHOD,0.95,10611.56,3.0,10608.56,PAYMENT_LINK,0.95,10611.56,3.0,10608.56,SEND_REMINDER,0.95,10611.56,1.0,10610.56,0.0,-2.0,2.0
FAIL_001718,8298.83,RETRY_NOW,0.95,8298.83,2.0,8296.83,RETRY_NOW,0.95,8298.83,2.0,8296.83,RETRY_NOW,0.95,8298.83,2.0,8296.83,0.0,0.0,0.0
FAIL_002215,8971.98,PAYMENT_LINK,0.95,8971.98,3.0,8968.98,WAIT_AND_RETRY,0.95,8971.98,2.0,8969.98,WAIT_AND_RETRY,0.95,8971.98,2.0,8969.98,-1.0,-1.0,1.0
FAIL_000419,9716.42,PAYMENT_LINK,0.95,9716.42,3.0,9713.42,PAYMENT_LINK,0.95,9716.42,3.0,9713.42,RETRY_NOW,0.95,9716.42,2.0,9714.42,0.0,-1.0,1.0
FAIL_000097,9606.42,PAYMENT_LINK,0.95,9606.42,3.0,9603.42,PAYMENT_LINK,0.95,9606.42,3.0,9603.42,PAYMENT_LINK,0.95,9606.42,3.0,9603.42,0.0,0.0,0.0
FAIL_002436,8464.41,PAYMENT_LINK,0.95,8464.41,3.0,8461.41,PAYMENT_LINK,0.95,8464.41,3.0,8461.41,PAYMENT_LINK,0.95,8464.41,3.0,8461.41,0.0,0.0,0.0
FAIL_001361,8636.92,PAYMENT_LINK,0.95,8636.92,3.0,8633.92,WAIT_AND_RETRY,0.948771,8636.92,2.0,8634.92,RETRY_NOW,0.95,8636.92,2.0,8634.92,-1.0,-1.0,1.0
FAIL_002197,9124.45,PAYMENT_LINK,0.95,9124.45,3.0,9121.45,PAYMENT_LINK,0.95,9124.45,3.0,9121.45,PAYMENT_LINK,0.95,9124.45,3.0,9121.45,0.0,0.0,0.0
FAIL_000726,8559.42,PAYMENT_LINK,0.95,8559.42,3.0,8556.42,PAYMENT_LINK,0.95,8559.42,3.0,8556.42,PAYMENT_LINK,0.95,8559.42,3.0,8556.42,0.0,0.0,0.0
FAIL_000865,8418.6,WAIT_AND_RETRY,0.95,8418.6,2.0,8416.6,WAIT_AND_RETRY,0.95,8418.6,2.0,8416.6,SEND_REMINDER,0.95,8418.6,1.0,8417.6,0.0,-1.0,1.0
FAIL_001719,8298.83,UPDATE_PAYMENT_METHOD,0.95,8298.83,3.0,8295.83,UPDATE_PAYMENT_METHOD,0.95,8298.83,3.0,8295.83,PAYMENT_LINK,0.95,8298.83,3.0,8295.83,0.0,0.0,0.0
FAIL_000996,7063.31,PAYMENT_LINK,0.95,7063.31,3.0,7060.31,WAIT_AND_RETRY,0.946622,0.0,2.0,-2.0,SEND_REMINDER,0.95,7063.31,1.0,7062.31,7062.31,-2.0,2.0
FAIL_000868,8418.6,PAYMENT_LINK,0.95,8418.6,3.0,8415.6,PAYMENT_LINK,0.95,8418.6,3.0,8415.6,PAYMENT_LINK,0.95,8418.6,3.0,8415.6,0.0,0.0,0.0
FAIL_001409,7064.05,PAYMENT_LINK,0.95,7064.05,3.0,7061.05,WAIT_AND_RETRY,0.95,7064.05,2.0,7062.05,SEND_REMINDER,0.95,7064.05,1.0,7063.05,-1.0,-2.0,2.0
FAIL_000547,7312.97,PAYMENT_LINK,0.95,7312.97,3.0,7309.97,PAYMENT_LINK,0.95,7312.97,3.0,7309.97,PAYMENT_LINK,0.95,7312.97,3.0,7309.97,0.0,0.0,0.0
FAIL_002499,5512.84,UPDATE_PAYMENT_METHOD,0.95,5512.84,3.0,5509.84,UPDATE_PAYMENT_METHOD,0.95,5512.84,3.0,5509.84,SEND_REMINDER,0.95,5512.84,1.0,5511.84,0.0,-2.0,2.0
FAIL_000981,5752.09,WAIT_AND_RETRY,0.95,5752.09,2.0,5750.09,WAIT_AND_RETRY,0.95,5752.09,2.0,5750.09,SEND_REMINDER,0.95,5752.09,1.0,5751.09,0.0,-1.0,1.0
FAIL_000048,7397.62,UPDATE_PAYMENT_METHOD,0.87524,7397.62,3.0,7394.62,PAYMENT_LINK,0.915042,7397.62,3.0,7394.62,PAYMENT_LINK,0.915042,7397.62,3.0,7394.62,0.0,0.0,0.0
FAIL_000980,5752.09,PAYMENT_LINK,0.95,5752.09,3.0,5749.09,PAYMENT_LINK,0.95,5752.09,3.0,5749.09,PAYMENT_LINK,0.95,5752.09,3.0,5749.09,0.0,0.0,0.0
FAIL_002772,6771.64,PAYMENT_LINK,0.95,6771.64,3.0,6768.64,PAYMENT_LINK,0.95,6771.64,3.0,6768.64,PAYMENT_LINK,0.95,6771.64,3.0,6768.64,0.0,0.0,0.0
FAIL_002501,3422.48,UPDATE_PAYMENT_METHOD,0.795025,3422.48,3.0,3419.48,UPDATE_PAYMENT_METHOD,0.795025,3422.48,3.0,3419.48,PAYMENT_LINK,0.8331,3422.48,3.0,3419.48,0.0,0.0,0.0
FAIL_002260,5745.9,WAIT_AND_RETRY,0.919123,5745.9,2.0,5743.9,PAYMENT_LINK,0.95,5745.9,3.0,5742.9,PAYMENT_LINK,0.95,5745.9,3.0,5742.9,1.0,1.0,-1.0
FAIL_001141,3086.94,UPDATE_PAYMENT_METHOD,0.766828,3086.94,3.0,3083.94,UPDATE_PAYMENT_METHOD,0.766828,3086.94,3.0,3083.94,UPDATE_PAYMENT_METHOD,0.766828,3086.94,3.0,3083.94,0.0,0.0,0.0
FAIL_001329,2720.0,UPDATE_PAYMENT_METHOD,0.95,2720.0,3.0,2717.0,UPDATE_PAYMENT_METHOD,0.95,2720.0,3.0,2717.0,UPDATE_PAYMENT_METHOD,0.95,2720.0,3.0,2717.0,0.0,0.0,0.0
FAIL_001240,3208.7,WAIT_AND_RETRY,0.95,3208.7,2.0,3206.7,WAIT_AND_RETRY,0.95,3208.7,2.0,3206.7,WAIT_AND_RETRY,0.95,3208.7,2.0,3206.7,0.0,0.0,0.0
FAIL_001144,3086.94,PAYMENT_LINK,0.596354,0.0,3.0,-3.0,PAYMENT_LINK,0.596354,0.0,3.0,-3.0,WAIT_AND_RETRY,0.67388,0.0,2.0,-2.0,0.0,-1.0,1.0
FAIL_001169,2634.12,WAIT_AND_RETRY,0.95,2634.12,2.0,2632.12,WAIT_AND_RETRY,0.95,2634.12,2.0,2632.12,RETRY_NOW,0.95,2634.12,2.0,2632.12,0.0,0.0,0.0
FAIL_002473,2414.17,RETRY_NOW,0.268774,0.0,2.0,-2.0,RETRY_NOW,0.268774,0.0,2.0,-2.0,PAYMENT_LINK,0.391281,0.0,3.0,-3.0,0.0,1.0,-1.0
FAIL_001140,3086.94,PAYMENT_LINK,0.702921,3086.94,3.0,3083.94,WAIT_AND_RETRY,0.734679,0.0,2.0,-2.0,SEND_REMINDER,0.742553,3086.94,1.0,3085.94,3085.94,-2.0,2.0
FAIL_001142,3086.94,PAYMENT_LINK,0.692202,0.0,3.0,-3.0,WAIT_AND_RETRY,0.669799,0.0,2.0,-2.0,PAYMENT_LINK,0.692202,0.0,3.0,-3.0,-1.0,0.0,0.0
FAIL_001354,2315.15,UPDATE_PAYMENT_METHOD,0.793805,2315.15,3.0,2312.15,UPDATE_PAYMENT_METHOD,0.793805,2315.15,3.0,2312.15,UPDATE_PAYMENT_METHOD,0.793805,2315.15,3.0,2312.15,0.0,0.0,0.0
FAIL_000188,2676.77,PAYMENT_LINK,0.815623,2676.77,3.0,2673.77,WAIT_AND_RETRY,0.721084,2676.77,2.0,2674.77,PAYMENT_LINK,0.815623,2676.77,3.0,2673.77,-1.0,0.0,0.0
FAIL_001062,2619.41,WAIT_AND_RETRY,0.67331,2619.41,2.0,2617.41,WAIT_AND_RETRY,0.67331,2619.41,2.0,2617.41,PAYMENT_LINK,0.787062,0.0,3.0,-3.0,0.0,2620.41,-2620.41
FAIL_001577,2210.87,RETRY_NOW,0.495866,2210.87,2.0,2208.87,RETRY_NOW,0.495866,2210.87,2.0,2208.87,RETRY_NOW,0.495866,2210.87,2.0,2208.87,0.0,0.0,0.0
FAIL_000009,2904.8,WAIT_AND_RETRY,0.94064,2904.8,2.0,2902.8,PAYMENT_LINK,0.95,2904.8,3.0,2901.8,PAYMENT_LINK,0.95,2904.8,3.0,2901.8,1.0,1.0,-1.0
FAIL_000414,2492.3,WAIT_AND_RETRY,0.337361,0.0,2.0,-2.0,WAIT_AND_RETRY,0.337361,0.0,2.0,-2.0,PAYMENT_LINK,0.51669,2492.3,3.0,2489.3,0.0,-2491.3,2491.3
FAIL_002233,2452.06,WAIT_AND_RETRY,0.791156,2452.06,2.0,2450.06,WAIT_AND_RETRY,0.791156,2452.06,2.0,2450.06,WAIT_AND_RETRY,0.791156,2452.06,2.0,2450.06,0.0,0.0,0.0
FAIL_002235,2452.06,WAIT_AND_RETRY,0.747431,2452.06,2.0,2450.06,WAIT_AND_RETRY,0.747431,2452.06,2.0,2450.06,PAYMENT_LINK,0.751625,2452.06,3.0,2449.06,0.0,1.0,-1.0
FAIL_002088,1859.33,WAIT_AND_RETRY,0.803205,1859.33,2.0,1857.33,RETRY_NOW,0.824528,0.0,2.0,-2.0,RETRY_NOW,0.824528,0.0,2.0,-2.0,1859.33,1859.33,-1859.33
FAIL_002528,2077.0,WAIT_AND_RETRY,0.836358,2077.0,2.0,2075.0,WAIT_AND_RETRY,0.836358,2077.0,2.0,2075.0,WAIT_AND_RETRY,0.836358,2077.0,2.0,2075.0,0.0,0.0,0.0
FAIL_002525,2077.0,WAIT_AND_RETRY,0.824551,2077.0,2.0,2075.0,PAYMENT_LINK,0.870666,2077.0,3.0,2074.0,PAYMENT_LINK,0.870666,2077.0,3.0,2074.0,1.0,1.0,-1.0
FAIL_000752,2288.88,PAYMENT_LINK,0.457003,2288.88,3.0,2285.88,PAYMENT_LINK,0.457003,2288.88,3.0,2285.88,PAYMENT_LINK,0.457003,2288.88,3.0,2285.88,0.0,0.0,0.0
FAIL_002601,2080.35,WAIT_AND_RETRY,0.778385,2080.35,2.0,2078.35,PAYMENT_LINK,0.829772,2080.35,3.0,2077.35,PAYMENT_LINK,0.829772,2080.35,3.0,2077.35,1.0,1.0,-1.0
FAIL_002095,2075.84,WAIT_AND_RETRY,0.759671,0.0,2.0,-2.0,WAIT_AND_RETRY,0.759671,0.0,2.0,-2.0,PAYMENT_LINK,0.784588,0.0,3.0,-3.0,0.0,1.0,-1.0
FAIL_000039,2269.23,SEND_REMINDER,0.925547,2269.23,1.0,2268.23,UPDATE_PAYMENT_METHOD,0.935753,2269.23,3.0,2266.23,PAYMENT_LINK,0.95,2269.23,3.0,2266.23,2.0,2.0,-2.0
FAIL_001578,2210.87,WAIT_AND_RETRY,0.337958,2210.87,2.0,2208.87,PAYMENT_LINK,0.428153,0.0,3.0,-3.0,PAYMENT_LINK,0.428153,0.0,3.0,-3.0,2211.87,2211.87,-2211.87
FAIL_002234,2452.06,PAYMENT_LINK,0.820427,2452.06,3.0,2449.06,PAYMENT_LINK,0.820427,2452.06,3.0,2449.06,PAYMENT_LINK,0.820427,2452.06,3.0,2449.06,0.0,0.0,0.0
FAIL_002662,1863.63,WAIT_AND_RETRY,0.788014,1863.63,2.0,1861.63,WAIT_AND_RETRY,0.788014,1863.63,2.0,1861.63,PAYMENT_LINK,0.803048,1863.63,3.0,1860.63,0.0,1.0,-1.0
FAIL_000939,2093.21,UPDATE_PAYMENT_METHOD,0.67997,2093.21,3.0,2090.21,UPDATE_PAYMENT_METHOD,0.67997,2093.21,3.0,2090.21,UPDATE_PAYMENT_METHOD,0.67997,2093.21,3.0,2090.21,0.0,0.0,0.0
FAIL_001176,1737.7,RETRY_NOW,0.423543,0.0,2.0,-2.0,RETRY_NOW,0.423543,0.0,2.0,-2.0,WAIT_AND_RETRY,0.454154,0.0,2.0,-2.0,0.0,0.0,0.0
FAIL_000249,1689.93,WAIT_AND_RETRY,0.95,1689.93,2.0,1687.93,RETRY_NOW,0.95,1689.93,2.0,1687.93,RETRY_NOW,0.95,1689.93,2.0,1687.93,0.0,0.0,0.0
FAIL_001405,2231.07,WAIT_AND_RETRY,0.526776,2231.07,2.0,2229.07,PAYMENT_LINK,0.486688,2231.07,3.0,2228.07,WAIT_AND_RETRY,0.526776,2231.07,2.0,2229.07,1.0,0.0,0.0
FAIL_001385,2023.63,WAIT_AND_RETRY,0.512844,0.0,2.0,-2.0,WAIT_AND_RETRY,0.512844,0.0,2.0,-2.0,WAIT_AND_RETRY,0.512844,0.0,2.0,-2.0,0.0,0.0,0.0
FAIL_002025,1696.9,UPDATE_PAYMENT_METHOD,0.860302,1696.9,3.0,1693.9,UPDATE_PAYMENT_METHOD,0.860302,1696.9,3.0,1693.9,UPDATE_PAYMENT_METHOD,0.860302,1696.9,3.0,1693.9,0.0,0.0,0.0
FAIL_000824,1661.44,UPDATE_PAYMENT_METHOD,0.501994,0.0,3.0,-3.0,UPDATE_PAYMENT_METHOD,0.501994,0.0,3.0,-3.0,UPDATE_PAYMENT_METHOD,0.501994,0.0,3.0,-3.0,0.0,0.0,0.0
FAIL_001009,1572.78,UPDATE_PAYMENT_METHOD,0.471486,1572.78,3.0,1569.78,UPDATE_PAYMENT_METHOD,0.471486,1572.78,3.0,1569.78,UPDATE_PAYMENT_METHOD,0.471486,1572.78,3.0,1569.78,0.0,0.0,0.0
FAIL_001116,1927.55,UPDATE_PAYMENT_METHOD,0.45568,1927.55,3.0,1924.55,UPDATE_PAYMENT_METHOD,0.45568,1927.55,3.0,1924.55,UPDATE_PAYMENT_METHOD,0.45568,1927.55,3.0,1924.55,0.0,0.0,0.0
FAIL_002094,2075.84,WAIT_AND_RETRY,0.75872,2075.84,2.0,2073.84,PAYMENT_LINK,0.831305,2075.84,3.0,2072.84,PAYMENT_LINK,0.831305,2075.84,3.0,2072.84,1.0,1.0,-1.0
FAIL_001136,1961.94,PAYMENT_LINK,0.535755,1961.94,3.0,1958.94,PAYMENT_LINK,0.535755,1961.94,3.0,1958.94,PAYMENT_LINK,0.535755,1961.94,3.0,1958.94,0.0,0.0,0.0
FAIL_001139,1961.94,PAYMENT_LINK,0.425371,1961.94,3.0,1958.94,PAYMENT_LINK,0.425371,1961.94,3.0,1958.94,WAIT_AND_RETRY,0.573343,1961.94,2.0,1959.94,0.0,-1.0,1.0
FAIL_002277,1868.13,WAIT_AND_RETRY,0.763512,1868.13,2.0,1866.13,WAIT_AND_RETRY,0.763512,1868.13,2.0,1866.13,WAIT_AND_RETRY,0.763512,1868.13,2.0,1866.13,0.0,0.0,0.0
FAIL_001600,1735.47,WAIT_AND_RETRY,0.775533,1735.47,2.0,1733.47,WAIT_AND_RETRY,0.775533,1735.47,2.0,1733.47,PAYMENT_LINK,0.798545,1735.47,3.0,1732.47,0.0,1.0,-1.0
FAIL_001551,1520.27,UPDATE_PAYMENT_METHOD,0.52068,0.0,3.0,-3.0,UPDATE_PAYMENT_METHOD,0.52068,0.0,3.0,-3.0,UPDATE_PAYMENT_METHOD,0.52068,0.0,3.0,-3.0,0.0,0.0,0.0
FAIL_001947,1784.87,PAYMENT_LINK,0.585906,0.0,3.0,-3.0,PAYMENT_LINK,0.585906,0.0,3.0,-3.0,PAYMENT_LINK,0.585906,0.0,3.0,-3.0,0.0,0.0,0.0
